Instrument,Series,SeriesSeconds,BarIndex,Time,Open,High,Low,Close,Volume,Range,Body,UpperWick,LowerWick,Direction,VO,VO_Change,VO_Slope3,VO_Slope5
MNQ DEC25,1s,1,0,2025-10-31 09:19:38,26200.25,26200.5,26200.25,26200.5,7,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,1,2025-10-31 09:19:39,26200.25,26200.75,26200.25,26200.25,6,0.5,0,0.5,0,0,,,,
MNQ DEC25,1s,1,2,2025-10-31 09:19:40,26200.5,26200.5,26200,26200,6,0.5,0.5,0,0,-1,,,,
MNQ DEC25,10s,10,5397,2025-10-31 09:19:40,26197.25,26200.75,26196.5,26200,107,4.25,2.75,0.75,0.75,1,63.6,-2.75,12.75,10.15
MNQ DEC25,20s,20,5698,2025-10-31 09:19:40,26199.5,26201.5,26196.5,26200,246,5,0.5,1.5,3,1,12.4,28.85,32.55,28.55
MNQ DEC25,1s,1,3,2025-10-31 09:19:41,26200.25,26200.25,26200,26200,2,0.25,0.25,0,0,-1,,,,
MNQ DEC25,1s,1,4,2025-10-31 09:19:42,26200.25,26200.25,26200,26200,3,0.25,0.25,0,0,-1,,,,
MNQ DEC25,1s,1,5,2025-10-31 09:19:44,26200,26200,26200,26200,5,0,0,0,0,0,,,,
MNQ DEC25,1s,1,6,2025-10-31 09:19:45,26200.25,26200.25,26200.25,26200.25,3,0,0,0,0,0,,,,
MNQ DEC25,1s,1,7,2025-10-31 09:19:46,26199.75,26199.75,26199.75,26199.75,3,0,0,0,0,0,,,,
MNQ DEC25,1s,1,8,2025-10-31 09:19:47,26199.75,26199.75,26199.75,26199.75,1,0,0,0,0,0,,,,
MNQ DEC25,1s,1,9,2025-10-31 09:19:48,26199.75,26200,26199.25,26200,7,0.75,0.25,0,0.5,1,,,,
MNQ DEC25,1s,1,10,2025-10-31 09:19:49,26199.75,26200,26199.75,26200,5,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,11,2025-10-31 09:19:50,26199.75,26199.75,26199.75,26199.75,2,0,0,0,0,0,,,,
MNQ DEC25,10s,10,5398,2025-10-31 09:19:50,26200.25,26200.25,26199.25,26199.75,31,1,0.5,0,0.5,-1,39.2,-24.4,-3.58333333,3.44
MNQ DEC25,1s,1,12,2025-10-31 09:19:51,26199.75,26199.75,26199.25,26199.25,6,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,13,2025-10-31 09:19:52,26199.5,26200.25,26199.5,26199.75,7,0.75,0.25,0.5,0,1,,,,
MNQ DEC25,1s,1,14,2025-10-31 09:19:53,26199,26199,26198.75,26198.75,5,0.25,0.25,0,0,-1,,,,
MNQ DEC25,1s,1,15,2025-10-31 09:19:54,26199.25,26199.5,26199.25,26199.5,12,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,16,2025-10-31 09:19:55,26199.25,26199.25,26198.75,26198.75,8,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,17,2025-10-31 09:19:56,26198.5,26198.5,26198.5,26198.5,1,0,0,0,0,0,,,,
MNQ DEC25,1s,1,18,2025-10-31 09:19:57,26199,26199,26198.5,26198.5,2,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,19,2025-10-31 09:19:58,26198,26199,26198,26199,15,1,1,0,0,1,,,,
MNQ DEC25,1s,1,20,2025-10-31 09:20:00,26199,26199,26199,26199,1,0,0,0,0,0,,,,
MNQ DEC25,10s,10,5399,2025-10-31 09:20:00,26199.75,26200.25,26198,26199,57,2.25,0.75,0.5,1,-1,10.25,-28.95,-18.7,-3.02
MNQ DEC25,20s,20,5699,2025-10-31 09:20:00,26200.25,26200.25,26198,26199,88,2.25,1.25,0,1,-1,-16.5,-28.9,19.4,16.51
MNQ DEC25,1s,1,21,2025-10-31 09:20:01,26198.25,26198.25,26197.75,26198,10,0.5,0.25,0,0.25,-1,,,,
MNQ DEC25,1s,1,22,2025-10-31 09:20:02,26198,26198.25,26197.75,26198.25,7,0.5,0.25,0,0.25,1,,,,
MNQ DEC25,1s,1,23,2025-10-31 09:20:03,26198,26198.25,26198,26198.25,2,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,24,2025-10-31 09:20:04,26198.5,26198.5,26197.5,26198,8,1,0.5,0,0.5,-1,,,,
MNQ DEC25,1s,1,25,2025-10-31 09:20:05,26198.25,26198.5,26198,26198,11,0.5,0.25,0.25,0,-1,,,,
MNQ DEC25,1s,1,26,2025-10-31 09:20:06,26198.5,26199.25,26198.5,26199.25,6,0.75,0.75,0,0,1,,,,
MNQ DEC25,1s,1,27,2025-10-31 09:20:07,26198.75,26198.75,26198.75,26198.75,2,0,0,0,0,0,,,,
MNQ DEC25,1s,1,28,2025-10-31 09:20:08,26199.25,26199.25,26198.75,26198.75,2,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,29,2025-10-31 09:20:09,26199.25,26199.25,26197.75,26198.25,20,1.5,1,0,0.5,-1,,,,
MNQ DEC25,1s,1,30,2025-10-31 09:20:10,26198.25,26200,26198.25,26200,21,1.75,1.75,0,0,1,,,,
MNQ DEC25,10s,10,5400,2025-10-31 09:20:10,26198.25,26200,26197.5,26200,89,2.5,1.75,0,0.75,1,-19.7,-29.95,-27.76666667,-13.93
MNQ DEC25,1s,1,31,2025-10-31 09:20:11,26200.25,26201,26200.25,26201,26,0.75,0.75,0,0,1,,,,
MNQ DEC25,1s,1,32,2025-10-31 09:20:12,26201,26201.25,26201,26201.25,6,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,33,2025-10-31 09:20:13,26200.75,26201,26200,26200,8,1,0.75,0.25,0,-1,,,,
MNQ DEC25,1s,1,34,2025-10-31 09:20:14,26200.5,26200.5,26200.5,26200.5,1,0,0,0,0,0,,,,
MNQ DEC25,1s,1,35,2025-10-31 09:20:15,26200.5,26200.75,26200.5,26200.75,3,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,36,2025-10-31 09:20:16,26200.25,26200.25,26200,26200,3,0.25,0.25,0,0,-1,,,,
MNQ DEC25,1s,1,37,2025-10-31 09:20:17,26200.25,26200.25,26199.75,26199.75,3,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,38,2025-10-31 09:20:18,26200.5,26200.5,26200.5,26200.5,1,0,0,0,0,0,,,,
MNQ DEC25,1s,1,39,2025-10-31 09:20:19,26200.5,26200.5,26200.25,26200.5,5,0.25,0,0,0.25,0,,,,
MNQ DEC25,1s,1,40,2025-10-31 09:20:20,26200,26200,26200,26200,1,0,0,0,0,0,,,,
MNQ DEC25,10s,10,5401,2025-10-31 09:20:20,26200.25,26201.25,26199.75,26200,57,1.5,0.25,1,0.25,-1,-34.25,-14.55,-24.48333333,-20.12
MNQ DEC25,20s,20,5700,2025-10-31 09:20:20,26198.25,26201.25,26197.5,26200,146,3.75,1.75,1.25,0.75,1,-9.6,6.9,2.28333333,15.13
MNQ DEC25,1s,1,41,2025-10-31 09:20:21,26200.25,26200.25,26200.25,26200.25,1,0,0,0,0,0,,,,
MNQ DEC25,1s,1,42,2025-10-31 09:20:22,26200,26200,26199.75,26199.75,4,0.25,0.25,0,0,-1,,,,
MNQ DEC25,1s,1,43,2025-10-31 09:20:23,26200.25,26200.5,26200.25,26200.5,7,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,44,2025-10-31 09:20:24,26200.75,26201,26200.25,26201,3,0.75,0.25,0,0.5,1,,,,
