Instrument,Series,SeriesSeconds,BarIndex,Time,Open,High,Low,Close,Volume,Range,Body,UpperWick,LowerWick,Direction,VO,VO_Change,VO_Slope3,VO_Slope5
MNQ SEP25,1s,1,0,2025-08-14 09:19:43,23830.75,23831.25,23830.75,23831.25,11,0.5,0.5,0,0,1,,,,
MNQ SEP25,1s,1,1,2025-08-14 09:19:44,23831,23831.75,23830.75,23830.75,18,1,0.25,0.75,0,-1,,,,
MNQ SEP25,1s,1,2,2025-08-14 09:19:45,23831.5,23831.5,23830.25,23830.25,16,1.25,1.25,0,0,-1,,,,
MNQ SEP25,1s,1,3,2025-08-14 09:19:46,23830,23830.25,23829.25,23829.5,31,1,0.5,0.25,0.25,-1,,,,
MNQ SEP25,1s,1,4,2025-08-14 09:19:47,23830,23830,23828.75,23830,19,1.25,0,0,1.25,0,,,,
MNQ SEP25,1s,1,5,2025-08-14 09:19:48,23829.5,23830.5,23829.5,23830.5,16,1,1,0,0,1,,,,
MNQ SEP25,1s,1,6,2025-08-14 09:19:49,23829.75,23830.5,23829.75,23830.5,11,0.75,0.75,0,0,1,,,,
MNQ SEP25,1s,1,7,2025-08-14 09:19:50,23830.25,23831,23830.25,23831,2,0.75,0.75,0,0,1,,,,
MNQ SEP25,10s,10,5398,2025-08-14 09:19:50,23831.5,23831.75,23828.75,23831,142,3,0.5,0.25,2.25,-1,10.25,12.25,0.23333333,1.55
MNQ SEP25,1s,1,8,2025-08-14 09:19:51,23830.5,23830.75,23830.25,23830.25,9,0.5,0.25,0.25,0,-1,,,,
MNQ SEP25,1s,1,9,2025-08-14 09:19:52,23830,23830.75,23830,23830.25,10,0.75,0.25,0.5,0,1,,,,
MNQ SEP25,1s,1,10,2025-08-14 09:19:53,23830.5,23830.5,23830.25,23830.25,2,0.25,0.25,0,0,-1,,,,
MNQ SEP25,1s,1,11,2025-08-14 09:19:54,23830.5,23831,23830.5,23831,13,0.5,0.5,0,0,1,,,,
MNQ SEP25,1s,1,12,2025-08-14 09:19:55,23830.75,23831,23829.75,23829.75,11,1.25,1,0.25,0,-1,,,,
MNQ SEP25,1s,1,13,2025-08-14 09:19:56,23829.5,23829.5,23828.75,23828.75,32,0.75,0.75,0,0,-1,,,,
MNQ SEP25,1s,1,14,2025-08-14 09:19:57,23828.75,23828.75,23827.75,23828.25,58,1,0.5,0,0.5,-1,,,,
