Instrument,Series,SeriesSeconds,BarIndex,Time,Open,High,Low,Close,Volume,Range,Body,UpperWick,LowerWick,Direction,VO,VO_Change,VO_Slope3,VO_Slope5
MNQ MAR26,1s,1,0,2026-01-27 09:19:51,25992.25,25992.75,25992,25992,8,0.75,0.25,0.5,0,-1,,,,
MNQ MAR26,1s,1,1,2026-01-27 09:19:52,25992.25,25992.5,25992,25992.25,23,0.5,0,0.25,0.25,0,,,,
MNQ MAR26,1s,1,2,2026-01-27 09:19:53,25992.5,25992.75,25992.5,25992.75,4,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,3,2026-01-27 09:19:54,25992.75,25992.75,25992,25992,9,0.75,0.75,0,0,-1,,,,
MNQ MAR26,1s,1,4,2026-01-27 09:19:55,25992.25,25992.25,25992,25992,4,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,5,2026-01-27 09:19:56,25992,25992,25990.75,25991.25,18,1.25,0.75,0,0.5,-1,,,,
MNQ MAR26,1s,1,6,2026-01-27 09:19:57,25991,25991.25,25990.5,25990.75,25,0.75,0.25,0.25,0.25,-1,,,,
MNQ MAR26,1s,1,7,2026-01-27 09:19:58,25990.75,25990.75,25990.5,25990.5,8,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,8,2026-01-27 09:19:59,25990.5,25990.75,25990,25990,34,0.75,0.5,0.25,0,-1,,,,
MNQ MAR26,1s,1,9,2026-01-27 09:20:00,25990.25,25990.75,25990.25,25990.5,22,0.5,0.25,0.25,0,1,,,,
MNQ MAR26,10s,10,5399,2026-01-27 09:20:00,25992.25,25992.75,25990,25990.5,155,2.75,1.75,0.5,0.5,-1,102.15,2.65,23.36666667,22.8
MNQ MAR26,20s,20,5699,2026-01-27 09:20:00,25990.5,25993,25990,25990.5,427,3,0,2.5,0.5,0,50.55,33.15,40.3,26.89
MNQ MAR26,1s,1,10,2026-01-27 09:20:01,25990.5,25990.5,25990,25990.25,27,0.5,0.25,0,0.25,-1,,,,
MNQ MAR26,1s,1,11,2026-01-27 09:20:02,25990,25990.25,25989.25,25990.25,97,1,0.25,0,0.75,1,,,,
MNQ MAR26,1s,1,12,2026-01-27 09:20:03,25990.5,25990.5,25989.75,25990.25,36,0.75,0.25,0,0.5,-1,,,,
MNQ MAR26,1s,1,13,2026-01-27 09:20:04,25990.5,25991.75,25990.5,25991.5,38,1.25,1,0.25,0,1,,,,
MNQ MAR26,1s,1,14,2026-01-27 09:20:05,25991.25,25991.25,25990.75,25990.75,27,0.5,0.5,0,0,-1,,,,
MNQ MAR26,1s,1,15,2026-01-27 09:20:06,25991,25991.25,25990.75,25990.75,4,0.5,0.25,0.25,0,-1,,,,
MNQ MAR26,1s,1,16,2026-01-27 09:20:07,25991.5,25992.5,25991.5,25992.5,19,1,1,0,0,1,,,,
MNQ MAR26,1s,1,17,2026-01-27 09:20:08,25992.25,25994.25,25992.25,25994.25,46,2,2,0,0,1,,,,
MNQ MAR26,1s,1,18,2026-01-27 09:20:09,25994,25994,25993.75,25993.75,9,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,19,2026-01-27 09:20:10,25993.25,25993.75,25993,25993.75,10,0.75,0.5,0,0.25,1,,,,
MNQ MAR26,10s,10,5400,2026-01-27 09:20:10,25990.5,25994.25,25989.25,25993.75,313,5,3.25,0.5,1.25,1,141.4,39.25,20.63333333,29.75
MNQ MAR26,1s,1,20,2026-01-27 09:20:11,25993.25,25993.75,25993,25993.25,9,0.75,0,0.5,0.25,0,,,,
MNQ MAR26,1s,1,21,2026-01-27 09:20:12,25993.5,25994,25993.25,25994,6,0.75,0.5,0,0.25,1,,,,
MNQ MAR26,1s,1,22,2026-01-27 09:20:13,25994,25994.25,25994,25994.25,16,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,23,2026-01-27 09:20:14,25993.75,25994.25,25993.75,25994.25,4,0.5,0.5,0,0,1,,,,
MNQ MAR26,1s,1,24,2026-01-27 09:20:15,25994.25,25994.5,25993.5,25994,17,1,0.25,0.25,0.5,-1,,,,
MNQ MAR26,1s,1,25,2026-01-27 09:20:16,25993.75,25994.25,25993.75,25993.75,5,0.5,0,0.5,0,0,,,,
MNQ MAR26,1s,1,26,2026-01-27 09:20:17,25994.25,25994.25,25993.75,25993.75,4,0.5,0.5,0,0,-1,,,,
MNQ MAR26,1s,1,27,2026-01-27 09:20:18,25994,25994.25,25994,25994,8,0.25,0,0.25,0,0,,,,
MNQ MAR26,1s,1,28,2026-01-27 09:20:19,25994.5,25995,25994.25,25994.25,9,0.75,0.25,0.5,0,-1,,,,
MNQ MAR26,1s,1,29,2026-01-27 09:20:20,25994.25,25994.25,25993.5,25993.5,6,0.75,0.75,0,0,-1,,,,
MNQ MAR26,10s,10,5401,2026-01-27 09:20:20,25993.25,25995,25993,25993.5,84,2,0.25,1.5,0.25,1,108.9,-32.5,3.13333333,15.37
MNQ MAR26,20s,20,5700,2026-01-27 09:20:20,25990.5,25995,25989.25,25993.5,397,5.75,3,1.5,1.25,1,82.5,31.95,46.73333333,36.84
MNQ MAR26,1s,1,30,2026-01-27 09:20:21,25993.75,25993.75,25993.5,25993.5,10,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,31,2026-01-27 09:20:22,25993.25,25993.75,25993,25993.75,16,0.75,0.5,0,0.25,1,,,,
MNQ MAR26,1s,1,32,2026-01-27 09:20:23,25993.75,25993.75,25993,25993,2,0.75,0.75,0,0,-1,,,,
MNQ MAR26,1s,1,33,2026-01-27 09:20:24,25993.5,25993.5,25993.5,25993.5,2,0,0,0,0,0,,,,
MNQ MAR26,1s,1,34,2026-01-27 09:20:25,25993.5,25993.5,25993.25,25993.25,4,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,35,2026-01-27 09:20:26,25993.5,25993.75,25993.5,25993.75,2,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,36,2026-01-27 09:20:27,25993.75,25993.75,25993.25,25993.75,6,0.5,0,0,0.5,0,,,,
MNQ MAR26,1s,1,37,2026-01-27 09:20:28,25993.5,25993.5,25993.25,25993.25,7,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,38,2026-01-27 09:20:29,25993,25993,25992.75,25993,4,0.25,0,0,0.25,0,,,,
MNQ MAR26,1s,1,39,2026-01-27 09:20:30,25992.5,25992.5,25992,25992,11,0.5,0.5,0,0,-1,,,,
MNQ MAR26,10s,10,5402,2026-01-27 09:20:30,25993.75,25993.75,25992,25992,64,1.75,1.75,0,0,-1,42.05,-66.85,-20.03333333,-7.49
MNQ MAR26,1s,1,40,2026-01-27 09:20:31,25991.5,25991.5,25991.25,25991.5,8,0.25,0,0,0.25,0,,,,
MNQ MAR26,1s,1,41,2026-01-27 09:20:32,25992,25992,25992,25992,2,0,0,0,0,0,,,,
MNQ MAR26,1s,1,42,2026-01-27 09:20:33,25992,25993,25992,25993,12,1,1,0,0,1,,,,
MNQ MAR26,1s,1,43,2026-01-27 09:20:34,25992.5,25992.5,25992.5,25992.5,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,44,2026-01-27 09:20:35,25992.5,25992.5,25991.75,25991.75,6,0.75,0.75,0,0,-1,,,,
MNQ MAR26,1s,1,45,2026-01-27 09:20:36,25992.5,25992.5,25992.25,25992.25,2,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,46,2026-01-27 09:20:37,25992.25,25992.5,25992.25,25992.5,4,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,47,2026-01-27 09:20:38,25992,25992.5,25992,25992.25,30,0.5,0.25,0.25,0,1,,,,
MNQ MAR26,1s,1,48,2026-01-27 09:20:39,25992.25,25992.25,25991.25,25991.5,9,1,0.75,0,0.25,-1,,,,
MNQ MAR26,1s,1,49,2026-01-27 09:20:40,25991.25,25991.25,25990.75,25991.25,12,0.5,0,0,0.5,0,,,,
MNQ MAR26,10s,10,5403,2026-01-27 09:20:40,25991.5,25993,25990.75,25991.25,86,2.25,0.25,1.5,0.5,-1,3.5,-38.55,-45.96666667,-19.2
MNQ MAR26,20s,20,5701,2026-01-27 09:20:40,25993.75,25993.75,25990.75,25991.25,150,3,2.5,0,0.5,-1,59.25,-23.25,13.95,25.92
MNQ MAR26,1s,1,50,2026-01-27 09:20:41,25990.75,25991.25,25990.75,25990.75,12,0.5,0,0.5,0,0,,,,
MNQ MAR26,1s,1,51,2026-01-27 09:20:42,25991.25,25991.75,25990.25,25990.25,22,1.5,1,0.5,0,-1,,,,
MNQ MAR26,1s,1,52,2026-01-27 09:20:43,25990.5,25990.75,25990.25,25990.25,7,0.5,0.25,0.25,0,-1,,,,
MNQ MAR26,1s,1,53,2026-01-27 09:20:44,25990.5,25990.5,25989.25,25989.25,31,1.25,1.25,0,0,-1,,,,
MNQ MAR26,1s,1,54,2026-01-27 09:20:45,25989.5,25989.5,25988.75,25989,38,0.75,0.5,0,0.25,-1,,,,
MNQ MAR26,1s,1,55,2026-01-27 09:20:46,25989.75,25990.25,25988.75,25989.25,31,1.5,0.5,0.5,0.5,-1,,,,
MNQ MAR26,1s,1,56,2026-01-27 09:20:47,25989.25,25989.25,25988.75,25988.75,19,0.5,0.5,0,0,-1,,,,
MNQ MAR26,1s,1,57,2026-01-27 09:20:48,25988.75,25989.25,25988.75,25989.25,16,0.5,0.5,0,0,1,,,,
MNQ MAR26,1s,1,58,2026-01-27 09:20:49,25989.25,25989.25,25988.5,25988.75,33,0.75,0.5,0,0.25,-1,,,,
MNQ MAR26,1s,1,59,2026-01-27 09:20:50,25988.75,25989.25,25988.75,25989.25,3,0.5,0.5,0,0,1,,,,
MNQ MAR26,10s,10,5404,2026-01-27 09:20:50,25990.75,25991.75,25988.5,25989.25,212,3.25,1.5,1,0.75,-1,8.3,4.8,-33.53333333,-18.77
