Instrument,Series,SeriesSeconds,BarIndex,Time,Open,High,Low,Close,Volume,Range,Body,UpperWick,LowerWick,Direction,VO,VO_Change,VO_Slope3,VO_Slope5
MNQ MAR26,1s,1,0,2025-12-30 09:19:16,25720.75,25720.75,25720.75,25720.75,3,0,0,0,0,0,,,,
MNQ MAR26,1s,1,1,2025-12-30 09:19:17,25720.75,25720.75,25720.25,25720.25,7,0.5,0.5,0,0,-1,,,,
MNQ MAR26,1s,1,2,2025-12-30 09:19:18,25720.5,25720.75,25720.25,25720.75,4,0.5,0.25,0,0.25,1,,,,
MNQ MAR26,1s,1,3,2025-12-30 09:19:19,25720.25,25720.25,25720,25720,2,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,4,2025-12-30 09:19:20,25720.25,25720.25,25720.25,25720.25,1,0,0,0,0,0,,,,
MNQ MAR26,10s,10,5772,2025-12-30 09:19:20,25720,25721.5,25720,25720.25,73,1.5,0.25,1.25,0,1,41.9,7.25,19.6,13.53
MNQ MAR26,20s,20,5697,2025-12-30 09:19:20,25720.75,25722,25719.5,25720.25,314,2.5,0.5,1.25,0.75,-1,0.3,37.2,22.2,16.47
MNQ MAR26,1s,1,5,2025-12-30 09:19:21,25719.75,25719.75,25719.5,25719.5,19,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,6,2025-12-30 09:19:22,25719.25,25720.25,25719.25,25719.5,25,1,0.25,0.75,0,1,,,,
MNQ MAR26,1s,1,7,2025-12-30 09:19:23,25719.25,25719.25,25719.25,25719.25,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,8,2025-12-30 09:19:24,25719.5,25719.5,25719.5,25719.5,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,9,2025-12-30 09:19:26,25719.25,25719.25,25719.25,25719.25,5,0,0,0,0,0,,,,
MNQ MAR26,1s,1,10,2025-12-30 09:19:27,25719.5,25719.5,25719.5,25719.5,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,11,2025-12-30 09:19:28,25719.25,25719.25,25719.25,25719.25,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,12,2025-12-30 09:19:30,25719,25719,25718.75,25718.75,7,0.25,0.25,0,0,-1,,,,
MNQ MAR26,10s,10,5773,2025-12-30 09:19:30,25719.75,25720.25,25718.75,25718.75,60,1.5,1,0.5,0,-1,46.35,4.45,16.23333333,15.08
MNQ MAR26,1s,1,13,2025-12-30 09:19:31,25719,25719.5,25719,25719.5,5,0.5,0.5,0,0,1,,,,
MNQ MAR26,1s,1,14,2025-12-30 09:19:32,25719.75,25720,25719.75,25720,4,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,15,2025-12-30 09:19:35,25719.5,25720.25,25719.5,25720.25,9,0.75,0.75,0,0,1,,,,
MNQ MAR26,1s,1,16,2025-12-30 09:19:36,25720,25720,25720,25720,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,17,2025-12-30 09:19:37,25720.25,25720.5,25720.25,25720.5,2,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,18,2025-12-30 09:19:40,25720.5,25720.5,25720.25,25720.25,6,0.25,0.25,0,0,-1,,,,
MNQ MAR26,10s,10,5774,2025-12-30 09:19:40,25719,25720.5,25719,25720.25,27,1.5,1.25,0.25,0,1,36.25,-10.1,0.53333333,10.63
MNQ MAR26,20s,20,5698,2025-12-30 09:19:40,25719.75,25720.5,25718.75,25720.25,87,1.75,0.5,0.25,1,1,10.8,10.5,23.85,14.71
MNQ MAR26,1s,1,19,2025-12-30 09:19:41,25720.25,25720.25,25720.25,25720.25,4,0,0,0,0,0,,,,
MNQ MAR26,1s,1,20,2025-12-30 09:19:42,25720.5,25720.5,25720.25,25720.25,12,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,21,2025-12-30 09:19:43,25720.25,25720.5,25720.25,25720.25,6,0.25,0,0.25,0,0,,,,
MNQ MAR26,1s,1,22,2025-12-30 09:19:44,25720,25720,25720,25720,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,23,2025-12-30 09:19:45,25720.5,25720.75,25720.5,25720.75,7,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,24,2025-12-30 09:19:47,25721,25721.75,25721,25721.5,15,0.75,0.5,0.25,0,1,,,,
MNQ MAR26,1s,1,25,2025-12-30 09:19:49,25721.25,25721.25,25721,25721,6,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,26,2025-12-30 09:19:50,25721.25,25721.25,25721.25,25721.25,3,0,0,0,0,0,,,,
MNQ MAR26,10s,10,5775,2025-12-30 09:19:50,25720.25,25721.75,25720,25721.25,54,1.75,1,0.5,0.25,1,29.8,-6.45,-4.03333333,6.43
MNQ MAR26,1s,1,27,2025-12-30 09:19:52,25721.25,25722,25721.25,25721.5,21,0.75,0.25,0.5,0,1,,,,
MNQ MAR26,1s,1,28,2025-12-30 09:19:54,25721.75,25722,25721.75,25721.75,21,0.25,0,0.25,0,0,,,,
MNQ MAR26,1s,1,29,2025-12-30 09:19:55,25721.75,25721.75,25721.75,25721.75,2,0,0,0,0,0,,,,
MNQ MAR26,1s,1,30,2025-12-30 09:19:56,25721.25,25721.75,25721.25,25721.75,5,0.5,0.5,0,0,1,,,,
MNQ MAR26,1s,1,31,2025-12-30 09:19:57,25721.75,25721.75,25721.5,25721.5,3,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,32,2025-12-30 09:19:58,25721.75,25721.75,25721.75,25721.75,12,0,0,0,0,0,,,,
MNQ MAR26,1s,1,33,2025-12-30 09:19:59,25721.5,25721.5,25721.25,25721.25,5,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,34,2025-12-30 09:20:00,25721.25,25721.5,25720.75,25721.5,28,0.75,0.25,0,0.5,1,,,,
MNQ MAR26,10s,10,5776,2025-12-30 09:20:00,25721.25,25722,25720.75,25721.5,97,1.25,0.25,0.5,0.5,1,-0.85,-30.65,-15.73333333,-7.1
MNQ MAR26,20s,20,5699,2025-12-30 09:20:00,25720.25,25722,25720,25721.5,151,2,1.25,0.5,0.25,1,23.45,12.65,20.11666667,17.95
MNQ MAR26,1s,1,35,2025-12-30 09:20:01,25721.25,25721.25,25720,25720.75,27,1.25,0.5,0,0.75,-1,,,,
MNQ MAR26,1s,1,36,2025-12-30 09:20:02,25720.75,25720.75,25720.25,25720.25,5,0.5,0.5,0,0,-1,,,,
MNQ MAR26,1s,1,37,2025-12-30 09:20:03,25720,25720.25,25719.5,25719.75,37,0.75,0.25,0.25,0.25,-1,,,,
MNQ MAR26,1s,1,38,2025-12-30 09:20:04,25719.5,25719.5,25719.25,25719.25,12,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,39,2025-12-30 09:20:05,25719,25719.25,25718.5,25718.5,32,0.75,0.5,0.25,0,-1,,,,
MNQ MAR26,1s,1,40,2025-12-30 09:20:06,25718.75,25718.75,25718,25718.5,30,0.75,0.25,0,0.5,-1,,,,
MNQ MAR26,1s,1,41,2025-12-30 09:20:07,25718.5,25718.75,25717.75,25718.5,40,1,0,0.25,0.75,0,,,,
MNQ MAR26,1s,1,42,2025-12-30 09:20:08,25719,25719.25,25718.75,25719,8,0.5,0,0.25,0.25,0,,,,
MNQ MAR26,1s,1,43,2025-12-30 09:20:09,25719.25,25719.25,25718.75,25718.75,4,0.5,0.5,0,0,-1,,,,
MNQ MAR26,10s,10,5777,2025-12-30 09:20:10,25721.25,25721.25,25717.75,25718.75,195,3.5,2.5,0,1,-1,16.1,16.95,-6.71666667,-5.16
MNQ MAR26,1s,1,44,2025-12-30 09:20:12,25719,25719.75,25719,25719.75,7,0.75,0.75,0,0,1,,,,
MNQ MAR26,1s,1,45,2025-12-30 09:20:14,25719.75,25719.75,25719.75,25719.75,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,46,2025-12-30 09:20:15,25719.75,25720,25719.5,25719.5,20,0.5,0.25,0.25,0,-1,,,,
MNQ MAR26,1s,1,47,2025-12-30 09:20:16,25719.5,25719.75,25719.5,25719.75,2,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,48,2025-12-30 09:20:17,25719.75,25720.25,25719.75,25720.25,11,0.5,0.5,0,0,1,,,,
MNQ MAR26,1s,1,49,2025-12-30 09:20:18,25720.25,25720.25,25720.25,25720.25,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,50,2025-12-30 09:20:19,25720.5,25720.5,25720,25720.5,6,0.5,0,0,0.5,0,,,,
MNQ MAR26,1s,1,51,2025-12-30 09:20:20,25721.25,25721.25,25720.5,25720.5,8,0.75,0.75,0,0,-1,,,,
MNQ MAR26,10s,10,5778,2025-12-30 09:20:20,25719,25721.25,25719,25720.5,56,2.25,1.5,0.75,0,1,15.4,-0.7,-4.8,-6.19
MNQ MAR26,20s,20,5700,2025-12-30 09:20:20,25721.25,25721.25,25717.75,25720.5,251,3.5,0.75,0,2.75,-1,53.2,29.75,17.63333333,22.79
MNQ MAR26,1s,1,52,2025-12-30 09:20:21,25720.75,25721,25720.75,25720.75,9,0.25,0,0.25,0,0,,,,
MNQ MAR26,1s,1,53,2025-12-30 09:20:23,25721,25721.5,25721,25721.5,2,0.5,0.5,0,0,1,,,,
MNQ MAR26,1s,1,54,2025-12-30 09:20:24,25721.75,25722,25721,25722,12,1,0.25,0,0.75,1,,,,
MNQ MAR26,1s,1,55,2025-12-30 09:20:25,25722,25722.75,25722,25722.25,31,0.75,0.25,0.5,0,1,,,,
MNQ MAR26,1s,1,56,2025-12-30 09:20:26,25721.75,25721.75,25721.5,25721.5,6,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,57,2025-12-30 09:20:27,25721.75,25721.75,25721.75,25721.75,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,58,2025-12-30 09:20:29,25721.5,25721.5,25721.5,25721.5,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,59,2025-12-30 09:20:30,25721.25,25721.75,25721,25721.75,16,0.75,0.5,0,0.25,1,,,,
MNQ MAR26,10s,10,5779,2025-12-30 09:20:30,25720.75,25722.75,25720.75,25721.75,78,2,1,1,0,1,24.15,8.75,8.33333333,-2.42
MNQ MAR26,1s,1,60,2025-12-30 09:20:31,25721.5,25721.75,25721.25,25721.25,6,0.5,0.25,0.25,0,-1,,,,
MNQ MAR26,1s,1,61,2025-12-30 09:20:32,25721.5,25721.5,25721.5,25721.5,2,0,0,0,0,0,,,,
MNQ MAR26,1s,1,62,2025-12-30 09:20:33,25721.25,25721.5,25721.25,25721.5,11,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,63,2025-12-30 09:20:34,25721.5,25721.5,25721.5,25721.5,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,64,2025-12-30 09:20:35,25721.75,25721.75,25721.75,25721.75,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,65,2025-12-30 09:20:36,25721.75,25721.75,25721.25,25721.25,12,0.5,0.5,0,0,-1,,,,
MNQ MAR26,1s,1,66,2025-12-30 09:20:37,25721.5,25721.75,25720.5,25720.75,28,1.25,0.75,0.25,0.25,-1,,,,
MNQ MAR26,1s,1,67,2025-12-30 09:20:39,25721.25,25721.25,25721.25,25721.25,2,0,0,0,0,0,,,,
MNQ MAR26,1s,1,68,2025-12-30 09:20:40,25721.25,25721.25,25720.75,25720.75,6,0.5,0.5,0,0,-1,,,,
MNQ MAR26,10s,10,5780,2025-12-30 09:20:40,25721.5,25721.75,25720.5,25720.75,69,1.25,0.75,0.25,0.25,-1,24.9,0.75,2.93333333,-0.98
MNQ MAR26,20s,20,5701,2025-12-30 09:20:40,25720.75,25722.75,25720.5,25720.75,147,2.25,0,2,0.25,0,48.35,-4.85,12.51666667,17.05
MNQ MAR26,1s,1,69,2025-12-30 09:20:41,25720.5,25721.25,25720.5,25721.25,4,0.75,0.75,0,0,1,,,,
MNQ MAR26,1s,1,70,2025-12-30 09:20:42,25721.5,25721.5,25721,25721,11,0.5,0.5,0,0,-1,,,,
MNQ MAR26,1s,1,71,2025-12-30 09:20:43,25721,25721,25721,25721,2,0,0,0,0,0,,,,
MNQ MAR26,1s,1,72,2025-12-30 09:20:44,25721.25,25721.25,25721,25721,5,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,73,2025-12-30 09:20:45,25721,25721,25721,25721,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,74,2025-12-30 09:20:46,25720.25,25720.5,25720.25,25720.25,6,0.25,0,0.25,0,0,,,,
MNQ MAR26,1s,1,75,2025-12-30 09:20:47,25720.25,25720.25,25720,25720,3,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,76,2025-12-30 09:20:48,25719.5,25719.5,25719,25719,5,0.5,0.5,0,0,-1,,,,
MNQ MAR26,1s,1,77,2025-12-30 09:20:49,25719.25,25719.25,25719.25,25719.25,4,0,0,0,0,0,,,,
MNQ MAR26,1s,1,78,2025-12-30 09:20:50,25719.5,25719.75,25719.5,25719.75,2,0.25,0.25,0,0,1,,,,
MNQ MAR26,10s,10,5781,2025-12-30 09:20:50,25720.5,25721.5,25719,25719.75,43,2.5,0.75,1,0.75,-1,14.9,-10,-0.16666667,3.15
MNQ MAR26,1s,1,79,2025-12-30 09:20:51,25719.25,25719.25,25719.25,25719.25,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,80,2025-12-30 09:20:53,25719.5,25719.5,25719.25,25719.25,15,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,81,2025-12-30 09:20:54,25720,25720,25720,25720,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,82,2025-12-30 09:20:55,25719.5,25720.25,25719.5,25720.25,2,0.75,0.75,0,0,1,,,,
MNQ MAR26,1s,1,83,2025-12-30 09:20:56,25720,25720,25720,25720,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,84,2025-12-30 09:20:57,25720,25720.75,25720,25720.75,4,0.75,0.75,0,0,1,,,,
MNQ MAR26,1s,1,85,2025-12-30 09:20:58,25721.25,25721.25,25721.25,25721.25,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,86,2025-12-30 09:20:59,25721.25,25721.75,25721.25,25721.75,3,0.5,0.5,0,0,1,,,,
MNQ MAR26,1s,1,87,2025-12-30 09:21:00,25722,25722.25,25721.75,25721.75,10,0.5,0.25,0.25,0,-1,,,,
MNQ MAR26,10s,10,5782,2025-12-30 09:21:00,25719.25,25722.25,25719.25,25721.75,38,3,2.5,0.5,0,1,-14.5,-29.4,-12.88333333,-6.12
MNQ MAR26,20s,20,5702,2025-12-30 09:21:00,25720.5,25722.25,25719,25721.75,81,3.25,1.25,0.5,1.5,1,3.35,-45,-6.7,0.61
MNQ MAR26,1s,1,88,2025-12-30 09:21:01,25721.5,25721.75,25721.5,25721.75,5,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,89,2025-12-30 09:21:02,25721.75,25722.25,25721.5,25721.5,29,0.75,0.25,0.5,0,-1,,,,
MNQ MAR26,1s,1,90,2025-12-30 09:21:03,25721.5,25721.75,25721.5,25721.5,10,0.25,0,0.25,0,0,,,,
MNQ MAR26,1s,1,91,2025-12-30 09:21:04,25721.25,25721.5,25721.25,25721.5,2,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,92,2025-12-30 09:21:05,25721.25,25721.25,25721,25721,4,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,93,2025-12-30 09:21:06,25721.25,25721.25,25721.25,25721.25,4,0,0,0,0,0,,,,
MNQ MAR26,1s,1,94,2025-12-30 09:21:07,25721,25721,25721,25721,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,95,2025-12-30 09:21:08,25721,25721,25721,25721,2,0,0,0,0,0,,,,
MNQ MAR26,1s,1,96,2025-12-30 09:21:09,25720.5,25720.5,25720.5,25720.5,3,0,0,0,0,0,,,,
MNQ MAR26,1s,1,97,2025-12-30 09:21:10,25720.75,25720.75,25720.75,25720.75,2,0,0,0,0,0,,,,
MNQ MAR26,10s,10,5783,2025-12-30 09:21:10,25721.5,25722.25,25720.5,25720.75,62,1.75,0.75,0.75,0.25,-1,-13.25,1.25,-12.71666667,-5.73
MNQ MAR26,1s,1,98,2025-12-30 09:21:11,25720.75,25720.75,25720,25720,5,0.75,0.75,0,0,-1,,,,
MNQ MAR26,1s,1,99,2025-12-30 09:21:12,25719.75,25720.25,25719.75,25720.25,3,0.5,0.5,0,0,1,,,,
MNQ MAR26,1s,1,100,2025-12-30 09:21:13,25720.75,25721.5,25720.5,25721.25,6,1,0.5,0.25,0.25,1,,,,
MNQ MAR26,1s,1,101,2025-12-30 09:21:14,25721.5,25721.5,25721.5,25721.5,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,102,2025-12-30 09:21:15,25721.25,25721.25,25721.25,25721.25,2,0,0,0,0,0,,,,
MNQ MAR26,1s,1,103,2025-12-30 09:21:16,25721.75,25721.75,25721.25,25721.25,9,0.5,0.5,0,0,-1,,,,
MNQ MAR26,1s,1,104,2025-12-30 09:21:17,25721.5,25721.5,25721.5,25721.5,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,105,2025-12-30 09:21:18,25721.5,25721.5,25721.5,25721.5,3,0,0,0,0,0,,,,
MNQ MAR26,1s,1,106,2025-12-30 09:21:19,25721.5,25721.5,25721.5,25721.5,2,0,0,0,0,0,,,,
MNQ MAR26,1s,1,107,2025-12-30 09:21:20,25721.75,25722,25721.75,25722,2,0.25,0.25,0,0,1,,,,
MNQ MAR26,10s,10,5784,2025-12-30 09:21:20,25720.75,25722,25719.75,25722,34,2.25,1.25,0,1,1,-23.2,-9.95,-12.7,-9.47
MNQ MAR26,20s,20,5703,2025-12-30 09:21:20,25721.5,25722.25,25719.75,25722,96,2.5,0.5,0.25,1.75,1,5.7,2.35,-15.83333333,-1.02
MNQ MAR26,1s,1,108,2025-12-30 09:21:21,25721.75,25722,25721.5,25722,5,0.5,0.25,0,0.25,1,,,,
MNQ MAR26,1s,1,109,2025-12-30 09:21:22,25722.25,25722.5,25722.25,25722.5,7,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,110,2025-12-30 09:21:23,25722.25,25722.5,25722,25722.5,6,0.5,0.25,0,0.25,1,,,,
MNQ MAR26,1s,1,111,2025-12-30 09:21:24,25722,25722,25721.25,25721.25,7,0.75,0.75,0,0,-1,,,,
MNQ MAR26,1s,1,112,2025-12-30 09:21:25,25721,25721.75,25721,25721.75,8,0.75,0.75,0,0,1,,,,
MNQ MAR26,1s,1,113,2025-12-30 09:21:26,25721.5,25721.5,25721.5,25721.5,2,0,0,0,0,0,,,,
MNQ MAR26,1s,1,114,2025-12-30 09:21:27,25721.75,25721.75,25721.5,25721.5,2,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,115,2025-12-30 09:21:29,25721,25721,25721,25721,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,116,2025-12-30 09:21:30,25720.75,25720.75,25720.75,25720.75,1,0,0,0,0,0,,,,
MNQ MAR26,10s,10,5785,2025-12-30 09:21:30,25721.75,25722.5,25720.75,25720.75,39,1.75,1,0.75,0,-1,-29.55,-6.35,-5.01666667,-10.89
MNQ MAR26,1s,1,117,2025-12-30 09:21:32,25720.5,25720.75,25719.5,25720,22,1.25,0.5,0.25,0.5,-1,,,,
MNQ MAR26,1s,1,118,2025-12-30 09:21:34,25720.25,25721,25720.25,25720.75,8,0.75,0.5,0.25,0,1,,,,
MNQ MAR26,1s,1,119,2025-12-30 09:21:38,25720.5,25720.5,25720.5,25720.5,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,120,2025-12-30 09:21:39,25719.75,25719.75,25719.75,25719.75,2,0,0,0,0,0,,,,
MNQ MAR26,1s,1,121,2025-12-30 09:21:40,25719.5,25719.5,25719.5,25719.5,12,0,0,0,0,0,,,,
MNQ MAR26,10s,10,5786,2025-12-30 09:21:40,25720.5,25721,25719.5,25719.5,45,1.5,1,0.5,0,-1,-29.3,0.25,-5.35,-8.84
MNQ MAR26,20s,20,5704,2025-12-30 09:21:40,25721.75,25722.5,25719.5,25719.5,84,3,2.25,0.75,0,-1,-5.45,-11.15,-17.93333333,-5.78
MNQ MAR26,1s,1,122,2025-12-30 09:21:41,25719.5,25720.5,25719.5,25720,10,1,0.5,0.5,0,1,,,,
MNQ MAR26,1s,1,123,2025-12-30 09:21:42,25720.25,25720.25,25719.75,25719.75,4,0.5,0.5,0,0,-1,,,,
MNQ MAR26,1s,1,124,2025-12-30 09:21:43,25719.5,25719.75,25719.5,25719.75,2,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,125,2025-12-30 09:21:45,25719.75,25719.75,25719,25719,15,0.75,0.75,0,0,-1,,,,
MNQ MAR26,1s,1,126,2025-12-30 09:21:46,25719.5,25720.25,25719.5,25719.75,24,0.75,0.25,0.5,0,1,,,,
MNQ MAR26,1s,1,127,2025-12-30 09:21:47,25720,25720.25,25719.75,25719.75,9,0.5,0.25,0.25,0,-1,,,,
MNQ MAR26,1s,1,128,2025-12-30 09:21:48,25719.75,25719.75,25719.75,25719.75,4,0,0,0,0,0,,,,
MNQ MAR26,1s,1,129,2025-12-30 09:21:49,25719.5,25719.5,25719.5,25719.5,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,130,2025-12-30 09:21:50,25720,25720.5,25720,25720.5,6,0.5,0.5,0,0,1,,,,
MNQ MAR26,10s,10,5787,2025-12-30 09:21:50,25719.5,25720.5,25719,25720.5,75,1.5,1,0,0.5,1,-23.65,5.65,-0.15,-1.83
MNQ MAR26,1s,1,131,2025-12-30 09:21:51,25720.25,25720.25,25720.25,25720.25,3,0,0,0,0,0,,,,
MNQ MAR26,1s,1,132,2025-12-30 09:21:52,25720,25720,25720,25720,3,0,0,0,0,0,,,,
MNQ MAR26,1s,1,133,2025-12-30 09:21:53,25719.5,25719.5,25719.5,25719.5,11,0,0,0,0,0,,,,
MNQ MAR26,1s,1,134,2025-12-30 09:21:54,25719.75,25719.75,25719.5,25719.5,3,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,135,2025-12-30 09:21:55,25719.25,25719.25,25719.25,25719.25,2,0,0,0,0,0,,,,
MNQ MAR26,1s,1,136,2025-12-30 09:21:56,25719,25719,25719,25719,3,0,0,0,0,0,,,,
MNQ MAR26,1s,1,137,2025-12-30 09:21:57,25719,25719,25719,25719,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,138,2025-12-30 09:21:59,25718.75,25718.75,25717,25717.25,90,1.75,1.5,0,0.25,-1,,,,
MNQ MAR26,1s,1,139,2025-12-30 09:22:00,25717.5,25717.75,25717,25717.75,14,0.75,0.25,0,0.5,1,,,,
MNQ MAR26,10s,10,5788,2025-12-30 09:22:00,25720.25,25720.25,25717,25717.75,130,3.25,2.5,0,0.75,-1,-15.05,8.6,4.83333333,-0.36
MNQ MAR26,20s,20,5705,2025-12-30 09:22:00,25719.5,25720.5,25717,25717.75,205,3.5,1.75,1,0.75,-1,-17.1,-11.65,-6.81666667,-14.06
MNQ MAR26,1s,1,140,2025-12-30 09:22:01,25717.25,25717.75,25717,25717,8,0.75,0.25,0.5,0,-1,,,,
MNQ MAR26,1s,1,141,2025-12-30 09:22:02,25717,25717.25,25717,25717,6,0.25,0,0.25,0,0,,,,
MNQ MAR26,1s,1,142,2025-12-30 09:22:03,25717.5,25717.5,25717.25,25717.25,2,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,143,2025-12-30 09:22:04,25717,25717.25,25717,25717.25,2,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,144,2025-12-30 09:22:05,25717,25717,25717,25717,4,0,0,0,0,0,,,,
