Instrument,Series,SeriesSeconds,BarIndex,Time,Open,High,Low,Close,Volume,Range,Body,UpperWick,LowerWick,Direction,VO,VO_Change,VO_Slope3,VO_Slope5
MNQ SEP25,1s,1,0,2025-07-25 09:18:58,23365,23365,23365,23365,1,0,0,0,0,0,,,,
MNQ SEP25,1s,1,1,2025-07-25 09:18:59,23364.75,23365,23364.75,23365,6,0.25,0.25,0,0,1,,,,
MNQ SEP25,1s,1,2,2025-07-25 09:19:00,23365.75,23365.75,23365.75,23365.75,2,0,0,0,0,0,,,,
MNQ SEP25,10s,10,5393,2025-07-25 09:19:00,23367,23367.25,23364.75,23365.75,60,2.5,1.25,0.25,1,-1,-25.4,-4.35,4.46666667,11.17
MNQ SEP25,20s,20,5696,2025-07-25 09:19:00,23366,23367.25,23364.75,23365.75,94,2.5,0.25,1.25,1,-1,-145.25,4.8,-6.01666667,-8.81
MNQ SEP25,1s,1,3,2025-07-25 09:19:01,23365.75,23365.75,23365.75,23365.75,1,0,0,0,0,0,,,,
MNQ SEP25,1s,1,4,2025-07-25 09:19:02,23365.5,23365.5,23365.5,23365.5,2,0,0,0,0,0,,,,
MNQ SEP25,1s,1,5,2025-07-25 09:19:03,23365.5,23365.5,23365,23365,9,0.5,0.5,0,0,-1,,,,
MNQ SEP25,1s,1,6,2025-07-25 09:19:04,23365,23365,23364.75,23364.75,3,0.25,0.25,0,0,-1,,,,
MNQ SEP25,1s,1,7,2025-07-25 09:19:05,23365,23365,23365,23365,5,0,0,0,0,0,,,,
MNQ SEP25,1s,1,8,2025-07-25 09:19:06,23365.5,23366,23365.5,23366,4,0.5,0.5,0,0,1,,,,
MNQ SEP25,1s,1,9,2025-07-25 09:19:07,23366,23366.5,23366,23366.5,3,0.5,0.5,0,0,1,,,,
MNQ SEP25,1s,1,10,2025-07-25 09:19:08,23366.5,23366.5,23366.5,23366.5,1,0,0,0,0,0,,,,
MNQ SEP25,1s,1,11,2025-07-25 09:19:09,23366.5,23366.5,23366.5,23366.5,1,0,0,0,0,0,,,,
MNQ SEP25,1s,1,12,2025-07-25 09:19:10,23366.25,23366.5,23366.25,23366.5,2,0.25,0.25,0,0,1,,,,
MNQ SEP25,10s,10,5394,2025-07-25 09:19:10,23365.75,23366.5,23364.75,23366.5,31,1.75,0.75,0,1,1,-20.65,4.75,3.3,11.05
MNQ SEP25,1s,1,13,2025-07-25 09:19:11,23366.5,23367,23366.5,23366.75,12,0.5,0.25,0.25,0,1,,,,
MNQ SEP25,1s,1,14,2025-07-25 09:19:12,23366.75,23366.75,23366.75,23366.75,1,0,0,0,0,0,,,,
MNQ SEP25,1s,1,15,2025-07-25 09:19:13,23366.25,23366.25,23366,23366,5,0.25,0.25,0,0,-1,,,,
MNQ SEP25,1s,1,16,2025-07-25 09:19:14,23366.25,23366.75,23366.25,23366.75,4,0.5,0.5,0,0,1,,,,
MNQ SEP25,1s,1,17,2025-07-25 09:19:15,23366.25,23366.25,23366.25,23366.25,1,0,0,0,0,0,,,,
MNQ SEP25,1s,1,18,2025-07-25 09:19:16,23366.25,23366.25,23365.5,23365.5,4,0.75,0.75,0,0,-1,,,,
MNQ SEP25,1s,1,19,2025-07-25 09:19:17,23365.75,23366,23365.75,23365.75,5,0.25,0,0.25,0,0,,,,
MNQ SEP25,1s,1,20,2025-07-25 09:19:19,23365.75,23365.75,23365.75,23365.75,3,0,0,0,0,0,,,,
MNQ SEP25,1s,1,21,2025-07-25 09:19:20,23365.5,23366.25,23365.5,23365.75,9,0.75,0.25,0.5,0,1,,,,
MNQ SEP25,10s,10,5395,2025-07-25 09:19:20,23366.5,23367,23365.5,23365.75,44,1.5,0.75,0.5,0.25,-1,-33.65,-13,-4.2,1.03
MNQ SEP25,20s,20,5697,2025-07-25 09:19:20,23365.75,23367,23364.75,23365.75,75,2.25,0,1.25,1,0,-105.15,40.1,12.5,1.49
MNQ SEP25,1s,1,22,2025-07-25 09:19:21,23366.25,23366.25,23366.25,23366.25,1,0,0,0,0,0,,,,
MNQ SEP25,1s,1,23,2025-07-25 09:19:22,23365.75,23365.75,23365.5,23365.5,2,0.25,0.25,0,0,-1,,,,
MNQ SEP25,1s,1,24,2025-07-25 09:19:23,23365.75,23365.75,23365.75,23365.75,1,0,0,0,0,0,,,,
MNQ SEP25,1s,1,25,2025-07-25 09:19:25,23366,23366.75,23366,23366.75,11,0.75,0.75,0,0,1,,,,
MNQ SEP25,1s,1,26,2025-07-25 09:19:26,23366.5,23367.25,23366.5,23367.25,7,0.75,0.75,0,0,1,,,,
MNQ SEP25,1s,1,27,2025-07-25 09:19:27,23367.5,23368.5,23367.5,23368,19,1,0.5,0.5,0,1,,,,
MNQ SEP25,1s,1,28,2025-07-25 09:19:28,23368,23368,23367.5,23367.75,7,0.5,0.25,0,0.25,-1,,,,
MNQ SEP25,1s,1,29,2025-07-25 09:19:29,23368.25,23368.25,23367.75,23368.25,17,0.5,0,0,0.5,0,,,,
MNQ SEP25,1s,1,30,2025-07-25 09:19:30,23368,23368.75,23368,23368.75,15,0.75,0.75,0,0,1,,,,
MNQ SEP25,10s,10,5396,2025-07-25 09:19:30,23366.25,23368.75,23365.5,23368.75,80,3.25,2.5,0,0.75,1,-28.25,5.4,-0.95,0.46
MNQ SEP25,1s,1,31,2025-07-25 09:19:31,23369,23369.25,23369,23369,16,0.25,0,0.25,0,0,,,,
MNQ SEP25,1s,1,32,2025-07-25 09:19:32,23369.5,23369.75,23369,23369.75,38,0.75,0.25,0,0.5,1,,,,
MNQ SEP25,1s,1,33,2025-07-25 09:19:33,23368.75,23369.25,23368.75,23369.25,6,0.5,0.5,0,0,1,,,,
MNQ SEP25,1s,1,34,2025-07-25 09:19:34,23369,23369.75,23369,23369.75,8,0.75,0.75,0,0,1,,,,
MNQ SEP25,1s,1,35,2025-07-25 09:19:35,23369.25,23369.75,23368,23368,31,1.75,1.25,0.5,0,-1,,,,
MNQ SEP25,1s,1,36,2025-07-25 09:19:36,23368.5,23369,23368,23368.25,29,1,0.25,0.5,0.25,-1,,,,
MNQ SEP25,1s,1,37,2025-07-25 09:19:37,23368.75,23369.25,23368.75,23369.25,5,0.5,0.5,0,0,1,,,,
MNQ SEP25,1s,1,38,2025-07-25 09:19:38,23368.75,23369,23368.25,23368.25,11,0.75,0.5,0.25,0,-1,,,,
MNQ SEP25,1s,1,39,2025-07-25 09:19:39,23367.75,23367.75,23367.75,23367.75,1,0,0,0,0,0,,,,
MNQ SEP25,1s,1,40,2025-07-25 09:19:40,23368.25,23368.5,23367.75,23368,16,0.75,0.25,0.25,0.25,-1,,,,
MNQ SEP25,10s,10,5397,2025-07-25 09:19:40,23369,23369.75,23367.75,23368,161,2,1,0.75,0.25,-1,-4.7,23.55,5.31666667,3.27
MNQ SEP25,20s,20,5698,2025-07-25 09:19:40,23366.25,23369.75,23365.5,23368,241,4.25,1.75,1.75,0.75,1,-75,30.15,25.01666667,10.44
MNQ SEP25,1s,1,41,2025-07-25 09:19:41,23368,23368.75,23368,23368.75,12,0.75,0.75,0,0,1,,,,
MNQ SEP25,1s,1,42,2025-07-25 09:19:42,23369,23369,23368,23368,2,1,1,0,0,-1,,,,
MNQ SEP25,1s,1,43,2025-07-25 09:19:43,23368.75,23369,23368.25,23369,24,0.75,0.25,0,0.5,1,,,,
MNQ SEP25,1s,1,44,2025-07-25 09:19:44,23369,23369.25,23369,23369.25,6,0.25,0.25,0,0,1,,,,
MNQ SEP25,1s,1,45,2025-07-25 09:19:45,23368.75,23369.5,23368.75,23369.5,14,0.75,0.75,0,0,1,,,,
MNQ SEP25,1s,1,46,2025-07-25 09:19:46,23369.25,23369.5,23368.5,23369.5,25,1,0.25,0,0.75,1,,,,
MNQ SEP25,1s,1,47,2025-07-25 09:19:47,23369.75,23369.75,23368.75,23368.75,8,1,1,0,0,-1,,,,
MNQ SEP25,1s,1,48,2025-07-25 09:19:48,23368.75,23368.75,23368.25,23368.25,6,0.5,0.5,0,0,-1,,,,
MNQ SEP25,1s,1,49,2025-07-25 09:19:49,23368.5,23368.5,23368.5,23368.5,3,0,0,0,0,0,,,,
MNQ SEP25,1s,1,50,2025-07-25 09:19:50,23368,23368,23368,23368,1,0,0,0,0,0,,,,
MNQ SEP25,10s,10,5398,2025-07-25 09:19:50,23368,23369.75,23368,23368,101,1.75,0,1.75,0,0,4.95,9.65,12.86666667,6.07
MNQ SEP25,1s,1,51,2025-07-25 09:19:51,23369,23369,23368.25,23368.5,23,0.75,0.5,0,0.25,-1,,,,
MNQ SEP25,1s,1,52,2025-07-25 09:19:52,23368.25,23368.25,23367.75,23367.75,9,0.5,0.5,0,0,-1,,,,
MNQ SEP25,1s,1,53,2025-07-25 09:19:54,23368,23368,23368,23368,2,0,0,0,0,0,,,,
