
MNQ DEC25,1s,1,302,2025-09-24 09:24:28,24878.75,24878.75,24878.25,24878.5,20,0.5,0.25,0,0.25,-1,,,,
MNQ DEC25,1s,1,303,2025-09-24 09:24:29,24878.25,24878.25,24878.25,24878.25,1,0,0,0,0,0,,,,
MNQ DEC25,1s,1,304,2025-09-24 09:24:30,24878.25,24878.25,24878,24878,10,0.25,0.25,0,0,-1,,,,
MNQ DEC25,10s,10,5426,2025-09-24 09:24:30,24878.5,24879.25,24878,24878,53,1.25,0.5,0.75,0,-1,-5.75,4.85,6.1,5.02
MNQ DEC25,1s,1,305,2025-09-24 09:24:31,24877.75,24877.75,24877.25,24877.25,3,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,306,2025-09-24 09:24:32,24876.75,24877,24876.5,24877,5,0.5,0.25,0,0.25,1,,,,
MNQ DEC25,1s,1,307,2025-09-24 09:24:33,24876.5,24876.75,24876.25,24876.25,21,0.5,0.25,0.25,0,-1,,,,
MNQ DEC25,1s,1,308,2025-09-24 09:24:34,24876.25,24876.75,24876,24876.75,8,0.75,0.5,0,0.25,1,,,,
MNQ DEC25,1s,1,309,2025-09-24 09:24:35,24876,24876.5,24876,24876.5,4,0.5,0.5,0,0,1,,,,
MNQ DEC25,1s,1,310,2025-09-24 09:24:36,24876,24876,24875.75,24875.75,10,0.25,0.25,0,0,-1,,,,
MNQ DEC25,1s,1,311,2025-09-24 09:24:39,24876.5,24876.5,24876.5,24876.5,4,0,0,0,0,0,,,,
MNQ DEC25,1s,1,312,2025-09-24 09:24:40,24877,24877,24876.5,24876.75,6,0.5,0.25,0,0.25,-1,,,,
MNQ DEC25,10s,10,5427,2025-09-24 09:24:40,24877.75,24877.75,24875.75,24876.75,61,2,1,0,1,-1,3.05,8.8,5.23333333,5.6
MNQ DEC25,20s,20,5713,2025-09-24 09:24:40,24878.5,24879.25,24875.75,24876.75,114,3.5,1.75,0.75,1,-1,-16.85,12.2,-5.76666667,-9.14
MNQ DEC25,1s,1,313,2025-09-24 09:24:42,24876.75,24876.75,24876.75,24876.75,1,0,0,0,0,0,,,,
MNQ DEC25,1s,1,314,2025-09-24 09:24:43,24877,24877,24877,24877,2,0,0,0,0,0,,,,
MNQ DEC25,1s,1,315,2025-09-24 09:24:45,24876.5,24876.75,24876.25,24876.25,8,0.5,0.25,0.25,0,-1,,,,
MNQ DEC25,1s,1,316,2025-09-24 09:24:46,24876.25,24876.25,24876.25,24876.25,1,0,0,0,0,0,,,,
MNQ DEC25,1s,1,317,2025-09-24 09:24:48,24876.25,24876.25,24876.25,24876.25,6,0,0,0,0,0,,,,
MNQ DEC25,1s,1,318,2025-09-24 09:24:49,24875.75,24876.25,24875.75,24876.25,2,0.5,0.5,0,0,1,,,,
MNQ DEC25,1s,1,319,2025-09-24 09:24:50,24876.25,24876.75,24876,24876,10,0.75,0.25,0.5,0,-1,,,,
MNQ DEC25,10s,10,5428,2025-09-24 09:24:50,24876.75,24877,24875.75,24876,30,1.25,0.75,0.25,0.25,-1,8.6,5.55,6.4,6.53
MNQ DEC25,1s,1,320,2025-09-24 09:24:51,24876,24876,24876,24876,1,0,0,0,0,0,,,,
MNQ DEC25,1s,1,321,2025-09-24 09:24:52,24876,24876,24875.75,24875.75,3,0.25,0.25,0,0,-1,,,,
