Instrument,Series,SeriesSeconds,BarIndex,Time,Open,High,Low,Close,Volume,Range,Body,UpperWick,LowerWick,Direction,VO,VO_Change,VO_Slope3,VO_Slope5
MNQ SEP25,1s,1,0,2025-07-17 09:19:56,23117.75,23118,23117.75,23118,11,0.25,0.25,0,0,1,,,,
MNQ SEP25,1s,1,1,2025-07-17 09:19:57,23118.5,23118.5,23117.75,23117.75,3,0.75,0.75,0,0,-1,,,,
MNQ SEP25,1s,1,2,2025-07-17 09:19:58,23117.75,23118,23117.75,23117.75,6,0.25,0,0.25,0,0,,,,
MNQ SEP25,1s,1,3,2025-07-17 09:19:59,23117.75,23118.5,23117.75,23118.5,8,0.75,0.75,0,0,1,,,,
MNQ SEP25,1s,1,4,2025-07-17 09:20:00,23118.5,23118.75,23118.25,23118.75,3,0.5,0.25,0,0.25,1,,,,
MNQ SEP25,10s,10,5399,2025-07-17 09:20:00,23118.75,23119,23117.5,23118.75,133,1.5,0,0.25,1.25,0,-80.2,-11.05,-2.06666667,-2.73
MNQ SEP25,20s,20,5699,2025-07-17 09:20:00,23119,23119.75,23117.5,23118.75,241,2.25,0.25,0.75,1.25,-1,-77.7,-140.9,-50.93333333,-54.3
MNQ SEP25,1s,1,5,2025-07-17 09:20:01,23118.75,23118.75,23117.25,23117.75,89,1.5,1,0,0.5,-1,,,,
MNQ SEP25,1s,1,6,2025-07-17 09:20:02,23118.5,23118.75,23118.5,23118.75,3,0.25,0.25,0,0,1,,,,
MNQ SEP25,1s,1,7,2025-07-17 09:20:03,23118.25,23118.25,23117.25,23117.25,10,1,1,0,0,-1,,,,
MNQ SEP25,1s,1,8,2025-07-17 09:20:04,23117.75,23118,23117.25,23118,13,0.75,0.25,0,0.5,1,,,,
MNQ SEP25,1s,1,9,2025-07-17 09:20:05,23118,23118.5,23117.75,23117.75,17,0.75,0.25,0.5,0,-1,,,,
MNQ SEP25,1s,1,10,2025-07-17 09:20:06,23117.75,23117.75,23117.25,23117.25,23,0.5,0.5,0,0,-1,,,,
MNQ SEP25,1s,1,11,2025-07-17 09:20:07,23117,23118,23117,23118,35,1,1,0,0,1,,,,
MNQ SEP25,1s,1,12,2025-07-17 09:20:08,23118,23118,23117,23117.5,18,1,0.5,0,0.5,-1,,,,
MNQ SEP25,1s,1,13,2025-07-17 09:20:09,23117.5,23117.75,23117,23117.75,29,0.75,0.25,0,0.5,1,,,,
MNQ SEP25,1s,1,14,2025-07-17 09:20:10,23117,23117.25,23116.5,23116.75,96,0.75,0.25,0.25,0.25,-1,,,,
MNQ SEP25,10s,10,5400,2025-07-17 09:20:10,23118.75,23118.75,23116.5,23116.75,333,2.25,2,0,0.25,-1,-41.9,38.3,11.21666667,9.92
MNQ SEP25,1s,1,15,2025-07-17 09:20:11,23117.25,23117.25,23116.75,23116.75,14,0.5,0.5,0,0,-1,,,,
MNQ SEP25,1s,1,16,2025-07-17 09:20:12,23116.75,23117.25,23116.75,23117.25,14,0.5,0.5,0,0,1,,,,
MNQ SEP25,1s,1,17,2025-07-17 09:20:13,23116.75,23117,23116.5,23117,7,0.5,0.25,0,0.25,1,,,,
MNQ SEP25,1s,1,18,2025-07-17 09:20:14,23116.75,23117.25,23116.5,23117,29,0.75,0.25,0.25,0.25,1,,,,
MNQ SEP25,1s,1,19,2025-07-17 09:20:15,23117.5,23117.75,23117.25,23117.25,11,0.5,0.25,0.25,0,-1,,,,
MNQ SEP25,1s,1,20,2025-07-17 09:20:16,23117.25,23118.25,23117.25,23117.75,17,1,0.5,0.5,0,1,,,,
MNQ SEP25,1s,1,21,2025-07-17 09:20:17,23118.25,23118.5,23118,23118.25,17,0.5,0,0.25,0.25,0,,,,
MNQ SEP25,1s,1,22,2025-07-17 09:20:18,23118.25,23118.25,23117.75,23117.75,4,0.5,0.5,0,0,-1,,,,
MNQ SEP25,1s,1,23,2025-07-17 09:20:19,23117.75,23118.25,23117,23117.5,38,1.25,0.25,0.5,0.5,-1,,,,
MNQ SEP25,1s,1,24,2025-07-17 09:20:20,23117.5,23118,23117.25,23117.25,21,0.75,0.25,0.5,0,-1,,,,
MNQ SEP25,10s,10,5401,2025-07-17 09:20:20,23117.25,23118.5,23116.5,23117.25,172,2,0,1.25,0.75,0,-59.35,-17.45,3.26666667,2.93
MNQ SEP25,20s,20,5700,2025-07-17 09:20:20,23118.75,23118.75,23116.5,23117.25,505,2.25,1.5,0,0.75,-1,-70.15,7.55,-48.51666667,-50.8
MNQ SEP25,1s,1,25,2025-07-17 09:20:21,23117.25,23117.25,23117,23117.25,11,0.25,0,0,0.25,0,,,,
MNQ SEP25,1s,1,26,2025-07-17 09:20:22,23117.25,23117.25,23115.5,23115.75,67,1.75,1.5,0,0.25,-1,,,,
MNQ SEP25,1s,1,27,2025-07-17 09:20:23,23115.75,23115.75,23114,23114,111,1.75,1.75,0,0,-1,,,,
MNQ SEP25,1s,1,28,2025-07-17 09:20:24,23114.5,23115.25,23113.75,23114.75,65,1.5,0.25,0.5,0.75,1,,,,
MNQ SEP25,1s,1,29,2025-07-17 09:20:25,23115.5,23115.5,23114.75,23114.75,30,0.75,0.75,0,0,-1,,,,
MNQ SEP25,1s,1,30,2025-07-17 09:20:26,23115.5,23115.75,23114.75,23115.25,17,1,0.25,0.25,0.5,-1,,,,
MNQ SEP25,1s,1,31,2025-07-17 09:20:27,23115,23115.75,23114.75,23115.5,15,1,0.5,0.25,0.25,1,,,,
MNQ SEP25,1s,1,32,2025-07-17 09:20:28,23115.5,23116.5,23115.5,23116.5,18,1,1,0,0,1,,,,
MNQ SEP25,1s,1,33,2025-07-17 09:20:29,23116.25,23117.25,23116.25,23116.75,25,1,0.5,0.5,0,1,,,,
MNQ SEP25,1s,1,34,2025-07-17 09:20:30,23116.75,23117,23116.75,23117,5,0.25,0.25,0,0,1,,,,
MNQ SEP25,10s,10,5402,2025-07-17 09:20:30,23117.25,23117.25,23113.75,23117,364,3.5,0.25,0,3.25,-1,-3.25,56.1,25.65,14.46
MNQ SEP25,1s,1,35,2025-07-17 09:20:31,23117,23117.25,23116.75,23117.25,15,0.5,0.25,0,0.25,1,,,,
