Instrument,Series,SeriesSeconds,BarIndex,Time,Open,High,Low,Close,Volume,Range,Body,UpperWick,LowerWick,Direction,VO,VO_Change,VO_Slope3,VO_Slope5
MNQ DEC25,1s,1,0,2025-11-10 09:19:50,25533.25,25533.25,25532.5,25532.5,10,0.75,0.75,0,0,-1,,,,
MNQ DEC25,10s,10,5397,2025-11-10 09:19:50,25531.75,25533.5,25531.25,25532.5,105,2.25,0.75,1,0.5,1,-42.85,-62.75,-45.11666667,-19.5
MNQ DEC25,1s,1,1,2025-11-10 09:19:51,25532.25,25532.5,25531.5,25531.75,18,1,0.5,0.25,0.25,-1,,,,
MNQ DEC25,1s,1,2,2025-11-10 09:19:52,25531.75,25532.5,25530.75,25532.5,67,1.75,0.75,0,1,1,,,,
MNQ DEC25,1s,1,3,2025-11-10 09:19:53,25532.5,25532.5,25532.25,25532.25,6,0.25,0.25,0,0,-1,,,,
MNQ DEC25,1s,1,4,2025-11-10 09:19:54,25532,25532.25,25532,25532.25,4,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,5,2025-11-10 09:19:55,25532,25533,25531.75,25533,10,1.25,1,0,0.25,1,,,,
MNQ DEC25,1s,1,6,2025-11-10 09:19:56,25533.25,25533.75,25533.25,25533.75,14,0.5,0.5,0,0,1,,,,
MNQ DEC25,1s,1,7,2025-11-10 09:19:57,25533.75,25534.5,25532.75,25533,43,1.75,0.75,0.75,0.25,-1,,,,
MNQ DEC25,1s,1,8,2025-11-10 09:19:58,25533.25,25533.75,25533.25,25533.75,21,0.5,0.5,0,0,1,,,,
MNQ DEC25,1s,1,9,2025-11-10 09:19:59,25534.25,25534.25,25533.75,25533.75,13,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,10,2025-11-10 09:20:00,25533.5,25533.75,25533.5,25533.5,9,0.25,0,0.25,0,0,,,,
MNQ DEC25,10s,10,5398,2025-11-10 09:20:00,25532.25,25534.5,25530.75,25533.5,205,3.75,1.25,1,1.5,1,-76.75,-33.9,-42,-32.74
MNQ DEC25,20s,20,5698,2025-11-10 09:20:00,25531.75,25534.5,25530.75,25533.5,310,3.75,1.75,1,1,1,94.4,2.75,-40.53333333,-5.54
MNQ DEC25,1s,1,11,2025-11-10 09:20:01,25533,25534,25533,25533.75,10,1,0.75,0.25,0,1,,,,
MNQ DEC25,1s,1,12,2025-11-10 09:20:02,25533.5,25534,25533.5,25534,13,0.5,0.5,0,0,1,,,,
MNQ DEC25,1s,1,13,2025-11-10 09:20:03,25533.75,25534.25,25533.75,25534.25,15,0.5,0.5,0,0,1,,,,
MNQ DEC25,1s,1,14,2025-11-10 09:20:04,25534.25,25534.5,25533,25533.25,31,1.5,1,0.25,0.25,-1,,,,
MNQ DEC25,1s,1,15,2025-11-10 09:20:05,25533.75,25535.75,25533.25,25535.75,55,2.5,2,0,0.5,1,,,,
MNQ DEC25,1s,1,16,2025-11-10 09:20:06,25535.75,25535.75,25534.75,25535,37,1,0.75,0,0.25,-1,,,,
MNQ DEC25,1s,1,17,2025-11-10 09:20:07,25534.75,25534.75,25534,25534,28,0.75,0.75,0,0,-1,,,,
MNQ DEC25,1s,1,18,2025-11-10 09:20:08,25535.25,25535.25,25533.25,25534,23,2,1.25,0,0.75,-1,,,,
MNQ DEC25,1s,1,19,2025-11-10 09:20:09,25534.25,25534.75,25533.25,25533.75,31,1.5,0.5,0.5,0.5,-1,,,,
MNQ DEC25,1s,1,20,2025-11-10 09:20:10,25534,25534.5,25533.75,25534.5,12,0.75,0.5,0,0.25,1,,,,
MNQ DEC25,10s,10,5399,2025-11-10 09:20:10,25533,25535.75,25533,25534.5,255,2.75,1.5,1.25,0,1,-57,19.75,-25.63333333,-29.9
MNQ DEC25,1s,1,21,2025-11-10 09:20:11,25535,25536.25,25534.75,25536.25,52,1.5,1.25,0,0.25,1,,,,
MNQ DEC25,1s,1,22,2025-11-10 09:20:12,25536.25,25536.5,25535.25,25535.75,25,1.25,0.5,0.25,0.5,-1,,,,
MNQ DEC25,1s,1,23,2025-11-10 09:20:13,25535.25,25536.25,25535.25,25536,28,1,0.75,0.25,0,1,,,,
MNQ DEC25,1s,1,24,2025-11-10 09:20:14,25536,25536.25,25535.5,25536,15,0.75,0,0.25,0.5,0,,,,
MNQ DEC25,1s,1,25,2025-11-10 09:20:15,25535.5,25537.25,25535.5,25537,41,1.75,1.5,0.25,0,1,,,,
MNQ DEC25,1s,1,26,2025-11-10 09:20:16,25537,25537.75,25536.5,25537,31,1.25,0,0.75,0.5,0,,,,
MNQ DEC25,1s,1,27,2025-11-10 09:20:17,25537.25,25538.5,25537.25,25538.25,68,1.25,1,0.25,0,1,,,,
MNQ DEC25,1s,1,28,2025-11-10 09:20:18,25538.5,25539.75,25538.25,25539.75,109,1.5,1.25,0,0.25,1,,,,
MNQ DEC25,1s,1,29,2025-11-10 09:20:19,25539.75,25539.75,25537.75,25538.25,42,2,1.5,0,0.5,-1,,,,
MNQ DEC25,1s,1,30,2025-11-10 09:20:20,25537.75,25538.5,25537.75,25538.5,18,0.75,0.75,0,0,1,,,,
MNQ DEC25,10s,10,5400,2025-11-10 09:20:20,25535,25539.75,25534.75,25538.5,429,5,3.5,1.25,0.25,1,3.7,60.7,15.51666667,-9.11
MNQ DEC25,20s,20,5699,2025-11-10 09:20:20,25533,25539.75,25533,25538.5,684,6.75,5.5,1.25,0,1,139.95,45.55,5.55,3.13
MNQ DEC25,1s,1,31,2025-11-10 09:20:21,25538.5,25539.25,25538.5,25539.25,47,0.75,0.75,0,0,1,,,,
MNQ DEC25,1s,1,32,2025-11-10 09:20:22,25539.5,25539.5,25538,25538.5,28,1.5,1,0,0.5,-1,,,,
MNQ DEC25,1s,1,33,2025-11-10 09:20:23,25538.75,25539,25538.5,25538.75,17,0.5,0,0.25,0.25,0,,,,
MNQ DEC25,1s,1,34,2025-11-10 09:20:24,25538.5,25539.75,25538.5,25539.75,46,1.25,1.25,0,0,1,,,,
MNQ DEC25,1s,1,35,2025-11-10 09:20:25,25539.75,25539.75,25538,25538,26,1.75,1.75,0,0,-1,,,,
MNQ DEC25,1s,1,36,2025-11-10 09:20:26,25538.5,25539,25538.25,25538.5,31,0.75,0,0.5,0.25,0,,,,
MNQ DEC25,1s,1,37,2025-11-10 09:20:27,25538.5,25538.75,25538,25538,12,0.75,0.5,0.25,0,-1,,,,
MNQ DEC25,1s,1,38,2025-11-10 09:20:28,25538.5,25539.25,25538.5,25539.25,15,0.75,0.75,0,0,1,,,,
MNQ DEC25,1s,1,39,2025-11-10 09:20:29,25538.5,25538.75,25538,25538.75,40,0.75,0.25,0,0.5,1,,,,
MNQ DEC25,1s,1,40,2025-11-10 09:20:30,25538.25,25538.25,25538,25538,12,0.25,0.25,0,0,-1,,,,
MNQ DEC25,10s,10,5401,2025-11-10 09:20:30,25538.5,25539.75,25538,25538,274,1.75,0.5,1.25,0,-1,22.3,18.6,33.01666667,0.48
MNQ DEC25,1s,1,41,2025-11-10 09:20:31,25538,25538,25537,25537,18,1,1,0,0,-1,,,,
MNQ DEC25,1s,1,42,2025-11-10 09:20:32,25537,25538.25,25536.5,25538.25,21,1.75,1.25,0,0.5,1,,,,
MNQ DEC25,1s,1,43,2025-11-10 09:20:33,25538.5,25538.5,25537.5,25537.5,14,1,1,0,0,-1,,,,
MNQ DEC25,1s,1,44,2025-11-10 09:20:34,25538,25538.25,25537.75,25537.75,15,0.5,0.25,0.25,0,-1,,,,
MNQ DEC25,1s,1,45,2025-11-10 09:20:35,25538,25538.5,25538,25538,9,0.5,0,0.5,0,0,,,,
MNQ DEC25,1s,1,46,2025-11-10 09:20:36,25538.5,25538.5,25536.75,25536.75,19,1.75,1.75,0,0,-1,,,,
MNQ DEC25,1s,1,47,2025-11-10 09:20:37,25536.75,25537.25,25536.75,25537.25,10,0.5,0.5,0,0,1,,,,
MNQ DEC25,1s,1,48,2025-11-10 09:20:38,25536.75,25537,25536.5,25536.75,11,0.5,0,0.25,0.25,0,,,,
MNQ DEC25,1s,1,49,2025-11-10 09:20:39,25536.75,25537.25,25536,25536.25,43,1.25,0.5,0.5,0.25,-1,,,,
MNQ DEC25,1s,1,50,2025-11-10 09:20:40,25536.75,25537,25536.25,25536.25,14,0.75,0.5,0.25,0,-1,,,,
MNQ DEC25,10s,10,5402,2025-11-10 09:20:40,25538,25538.5,25536,25536.25,174,2.5,1.75,0.5,0.25,-1,29.4,7.1,28.8,14.45
MNQ DEC25,20s,20,5700,2025-11-10 09:20:40,25538.5,25539.75,25536,25536.25,448,3.75,2.25,1.25,0.25,-1,83.15,-56.8,-2.83333333,-26.57
MNQ DEC25,1s,1,51,2025-11-10 09:20:41,25536.5,25536.75,25536.5,25536.5,9,0.25,0,0.25,0,0,,,,
MNQ DEC25,1s,1,52,2025-11-10 09:20:42,25536.25,25536.75,25535.5,25536.75,19,1.25,0.5,0,0.75,1,,,,
MNQ DEC25,1s,1,53,2025-11-10 09:20:43,25537,25537.75,25536.75,25536.75,23,1,0.25,0.75,0,-1,,,,
MNQ DEC25,1s,1,54,2025-11-10 09:20:44,25537.25,25538.25,25537.25,25538.25,13,1,1,0,0,1,,,,
MNQ DEC25,1s,1,55,2025-11-10 09:20:45,25537.75,25538,25537.5,25537.5,5,0.5,0.25,0.25,0,-1,,,,
MNQ DEC25,1s,1,56,2025-11-10 09:20:46,25537.5,25538,25537.5,25537.75,6,0.5,0.25,0.25,0,1,,,,
MNQ DEC25,1s,1,57,2025-11-10 09:20:47,25537.75,25537.75,25537.5,25537.5,7,0.25,0.25,0,0,-1,,,,
MNQ DEC25,1s,1,58,2025-11-10 09:20:48,25537.75,25537.75,25537.75,25537.75,1,0,0,0,0,0,,,,
MNQ DEC25,1s,1,59,2025-11-10 09:20:49,25538.25,25538.25,25537.75,25537.75,3,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,60,2025-11-10 09:20:50,25537.5,25537.75,25536.75,25536.75,20,1,0.75,0.25,0,-1,,,,
MNQ DEC25,10s,10,5403,2025-11-10 09:20:50,25536.5,25538.25,25535.5,25536.75,106,2.75,0.25,1.5,1,1,38.25,8.85,11.51666667,23
MNQ DEC25,1s,1,61,2025-11-10 09:20:51,25536.75,25538,25536.75,25537.75,40,1.25,1,0.25,0,1,,,,
MNQ DEC25,1s,1,62,2025-11-10 09:20:52,25537.25,25537.5,25536.25,25537.5,15,1.25,0.25,0,1,1,,,,
MNQ DEC25,1s,1,63,2025-11-10 09:20:53,25537.75,25537.75,25537,25537.5,12,0.75,0.25,0,0.5,-1,,,,
MNQ DEC25,1s,1,64,2025-11-10 09:20:54,25537.25,25537.25,25535.5,25536,15,1.75,1.25,0,0.5,-1,,,,
MNQ DEC25,1s,1,65,2025-11-10 09:20:55,25535.75,25536,25534.5,25535.25,34,1.5,0.5,0.25,0.75,-1,,,,
MNQ DEC25,1s,1,66,2025-11-10 09:20:56,25535,25536,25535,25536,15,1,1,0,0,1,,,,
MNQ DEC25,1s,1,67,2025-11-10 09:20:57,25535.75,25535.75,25534.5,25535,29,1.25,0.75,0,0.5,-1,,,,
MNQ DEC25,1s,1,68,2025-11-10 09:20:58,25534.75,25534.75,25534.5,25534.5,3,0.25,0.25,0,0,-1,,,,
MNQ DEC25,1s,1,69,2025-11-10 09:20:59,25535,25535.25,25534.75,25535.25,13,0.5,0.25,0,0.25,1,,,,
MNQ DEC25,1s,1,70,2025-11-10 09:21:00,25536,25536.5,25536,25536.5,12,0.5,0.5,0,0,1,,,,
MNQ DEC25,10s,10,5404,2025-11-10 09:21:00,25536.75,25538,25534.5,25536.5,188,3.5,0.25,1.25,2,-1,23.9,-14.35,0.53333333,16.18
MNQ DEC25,20s,20,5701,2025-11-10 09:21:00,25536.5,25538.25,25534.5,25536.5,294,3.75,0,1.75,2,0,41.3,-41.85,-17.7,-16.4
MNQ DEC25,1s,1,71,2025-11-10 09:21:01,25536.25,25536.25,25534.75,25534.75,14,1.5,1.5,0,0,-1,,,,
MNQ DEC25,1s,1,72,2025-11-10 09:21:02,25535,25535,25534.5,25534.75,9,0.5,0.25,0,0.25,-1,,,,
MNQ DEC25,1s,1,73,2025-11-10 09:21:03,25534.25,25534.75,25534,25534,29,0.75,0.25,0.5,0,-1,,,,
MNQ DEC25,1s,1,74,2025-11-10 09:21:04,25533.75,25533.75,25533.25,25533.5,21,0.5,0.25,0,0.25,-1,,,,
MNQ DEC25,1s,1,75,2025-11-10 09:21:05,25533.5,25533.75,25533.5,25533.75,6,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,76,2025-11-10 09:21:06,25534,25534,25533.75,25533.75,15,0.25,0.25,0,0,-1,,,,
MNQ DEC25,1s,1,77,2025-11-10 09:21:07,25533.75,25535,25533.75,25535,12,1.25,1.25,0,0,1,,,,
MNQ DEC25,1s,1,78,2025-11-10 09:21:08,25534.75,25535.25,25534.75,25535.25,6,0.5,0.5,0,0,1,,,,
MNQ DEC25,1s,1,79,2025-11-10 09:21:09,25535.5,25535.75,25535.5,25535.75,5,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,80,2025-11-10 09:21:10,25535.25,25536.75,25535.25,25536.5,15,1.5,1.25,0.25,0,1,,,,
MNQ DEC25,10s,10,5405,2025-11-10 09:21:10,25536.25,25536.75,25533.25,25536.5,132,3.5,0.25,0.25,3,1,-33.95,-57.85,-21.11666667,-7.53
MNQ DEC25,1s,1,81,2025-11-10 09:21:11,25536,25536.5,25536,25536.25,8,0.5,0.25,0.25,0,1,,,,
MNQ DEC25,1s,1,82,2025-11-10 09:21:12,25537,25537.5,25536.75,25537,19,0.75,0,0.5,0.25,0,,,,
MNQ DEC25,1s,1,83,2025-11-10 09:21:13,25537.25,25537.5,25536.75,25537.5,12,0.75,0.25,0,0.5,1,,,,
MNQ DEC25,1s,1,84,2025-11-10 09:21:14,25537.75,25538,25537.25,25537.25,19,0.75,0.5,0.25,0,-1,,,,
MNQ DEC25,1s,1,85,2025-11-10 09:21:15,25537.5,25538.5,25537.5,25538.5,58,1,1,0,0,1,,,,
MNQ DEC25,1s,1,86,2025-11-10 09:21:16,25538.25,25538.75,25538.25,25538.25,14,0.5,0,0.5,0,0,,,,
MNQ DEC25,1s,1,87,2025-11-10 09:21:17,25538.5,25538.75,25538,25538.25,14,0.75,0.25,0.25,0.25,-1,,,,
MNQ DEC25,1s,1,88,2025-11-10 09:21:18,25538.5,25538.5,25538,25538,8,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,89,2025-11-10 09:21:19,25538.25,25538.25,25538.25,25538.25,9,0,0,0,0,0,,,,
MNQ DEC25,1s,1,90,2025-11-10 09:21:20,25538,25538.75,25538,25538.75,17,0.75,0.75,0,0,1,,,,
MNQ DEC25,10s,10,5406,2025-11-10 09:21:20,25536,25538.75,25536,25538.75,178,2.75,2.75,0,0,1,-50.85,-16.9,-29.7,-14.63
MNQ DEC25,20s,20,5702,2025-11-10 09:21:20,25536.25,25538.75,25533.25,25538.75,310,5.5,2.5,0,3,1,50.85,9.55,-29.7,-8.16
MNQ DEC25,1s,1,91,2025-11-10 09:21:21,25538.25,25538.25,25538,25538.25,12,0.25,0,0,0.25,0,,,,
MNQ DEC25,1s,1,92,2025-11-10 09:21:22,25538.25,25538.25,25537.25,25537.25,17,1,1,0,0,-1,,,,
MNQ DEC25,1s,1,93,2025-11-10 09:21:23,25537.25,25537.5,25537.25,25537.5,5,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,94,2025-11-10 09:21:24,25537,25538,25537,25538,4,1,1,0,0,1,,,,
MNQ DEC25,1s,1,95,2025-11-10 09:21:25,25538,25538.25,25538,25538,9,0.25,0,0.25,0,0,,,,
MNQ DEC25,1s,1,96,2025-11-10 09:21:26,25538,25538,25538,25538,1,0,0,0,0,0,,,,
MNQ DEC25,1s,1,97,2025-11-10 09:21:27,25538.5,25538.75,25537.75,25538.5,12,1,0,0.25,0.75,0,,,,
MNQ DEC25,1s,1,98,2025-11-10 09:21:28,25538.25,25539,25538.25,25538.5,17,0.75,0.25,0.5,0,1,,,,
MNQ DEC25,1s,1,99,2025-11-10 09:21:30,25539,25540.25,25539,25539.75,82,1.25,0.75,0.5,0,1,,,,
MNQ DEC25,10s,10,5407,2025-11-10 09:21:30,25538.25,25540.25,25537,25539.75,159,3.25,1.5,0.5,1.25,1,-50.75,0.1,-24.88333333,-16.03
MNQ DEC25,1s,1,100,2025-11-10 09:21:31,25539.25,25539.75,25538.75,25538.75,14,1,0.5,0.5,0,-1,,,,
MNQ DEC25,1s,1,101,2025-11-10 09:21:32,25539.25,25541.25,25539.25,25541.25,92,2,2,0,0,1,,,,
MNQ DEC25,1s,1,102,2025-11-10 09:21:33,25541,25541,25540.25,25540.5,16,0.75,0.5,0,0.25,-1,,,,
MNQ DEC25,1s,1,103,2025-11-10 09:21:34,25540.5,25540.5,25540,25540.5,12,0.5,0,0,0.5,0,,,,
MNQ DEC25,1s,1,104,2025-11-10 09:21:35,25540,25540,25539,25539.25,19,1,0.75,0,0.25,-1,,,,
MNQ DEC25,1s,1,105,2025-11-10 09:21:36,25539,25539,25539,25539,4,0,0,0,0,0,,,,
MNQ DEC25,1s,1,106,2025-11-10 09:21:37,25538.75,25538.75,25538.75,25538.75,1,0,0,0,0,0,,,,
MNQ DEC25,1s,1,107,2025-11-10 09:21:38,25538.5,25538.5,25538.5,25538.5,2,0,0,0,0,0,,,,
MNQ DEC25,1s,1,108,2025-11-10 09:21:39,25539,25540,25539,25540,53,1,1,0,0,1,,,,
MNQ DEC25,1s,1,109,2025-11-10 09:21:40,25539.5,25540,25539.25,25539.25,10,0.75,0.25,0.5,0,-1,,,,
MNQ DEC25,10s,10,5408,2025-11-10 09:21:40,25539.25,25541.25,25538.5,25539.25,223,2.75,0,2,0.75,0,-32.5,18.25,0.48333333,-14.15
MNQ DEC25,20s,20,5703,2025-11-10 09:21:40,25538.25,25541.25,25537,25539.25,382,4.25,1,2,1.25,1,57.5,6.65,-8.55,-7.38
MNQ DEC25,1s,1,110,2025-11-10 09:21:41,25539.75,25540,25539.75,25540,7,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,111,2025-11-10 09:21:42,25540,25541,25540,25540.25,18,1,0.25,0.75,0,1,,,,
MNQ DEC25,1s,1,112,2025-11-10 09:21:43,25540.25,25540.5,25540.25,25540.25,4,0.25,0,0.25,0,0,,,,
MNQ DEC25,1s,1,113,2025-11-10 09:21:44,25540.75,25541.75,25540.75,25541.75,33,1,1,0,0,1,,,,
MNQ DEC25,1s,1,114,2025-11-10 09:21:45,25542,25542.5,25542,25542.25,73,0.5,0.25,0.25,0,1,,,,
MNQ DEC25,1s,1,115,2025-11-10 09:21:46,25542,25542.5,25542,25542.25,17,0.5,0.25,0.25,0,1,,,,
MNQ DEC25,1s,1,116,2025-11-10 09:21:47,25542.5,25543,25542.5,25542.75,10,0.5,0.25,0.25,0,1,,,,
MNQ DEC25,1s,1,117,2025-11-10 09:21:48,25542.75,25543.75,25542.75,25543.75,42,1,1,0,0,1,,,,
MNQ DEC25,1s,1,118,2025-11-10 09:21:49,25544,25544.75,25544,25544.75,50,0.75,0.75,0,0,1,,,,
MNQ DEC25,1s,1,119,2025-11-10 09:21:50,25544.75,25544.75,25544.25,25544.5,17,0.5,0.25,0,0.25,-1,,,,
MNQ DEC25,10s,10,5409,2025-11-10 09:21:50,25539.75,25544.75,25539.75,25544.5,271,5,4.75,0.25,0,1,-25.3,7.2,8.51666667,-9.84
MNQ DEC25,1s,1,120,2025-11-10 09:21:51,25544.5,25544.75,25544.25,25544.25,25,0.5,0.25,0.25,0,-1,,,,
MNQ DEC25,1s,1,121,2025-11-10 09:21:52,25544.5,25544.75,25544.25,25544.25,7,0.5,0.25,0.25,0,-1,,,,
