Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,TIF,Account display name,ID,Time,Cancel,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29124.75,0,Entry,(20) - 1,,GTC,Playback101,226f54754a814e1baf160ac8239801ed,2026-07-21 오전 10:21:42,,
MNQ SEP26,Buy to cover,MIT,1,0,29099.75,Cancelled,0,0,1,Target1,(20) - 1,87578632c4274e80b392539d2abb11dd,GTC,Playback101,e3fd123848564174b93061ac8daf84de,2026-07-21 오전 10:22:25,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29144.75,Filled,1,29144.75,0,Stop1,(20) - 1,87578632c4274e80b392539d2abb11dd,GTC,Playback101,a3c36ebc6c7940d18f18bf2d39ce0dea,2026-07-21 오전 10:22:25,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29154.75,0,Entry,,,GTC,Playback101,39cff1404589490a9b8ac125d79a31c9,2026-07-21 오전 10:25:30,,
MNQ SEP26,Sell,MIT,1,0,29179.75,Filled,1,29179.25,0,Target1,(20) - 1,5b58abd13ba44ed38456a0d460b083ed,GTC,Playback101,c55d4e55cff84250901a1403f229cf24,2026-07-21 오전 10:25:43,,
MNQ SEP26,Sell,Stop Market,1,0,29134.75,Cancelled,0,0,1,Stop1,(20) - 1,5b58abd13ba44ed38456a0d460b083ed,GTC,Playback101,44d6a3b276e04e15bd9d70482d78486b,2026-07-21 오전 10:25:43,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29196.5,0,Entry,(20) - 1,,GTC,Playback101,208d7e6084154657bb2902bb39eddcb0,2026-07-21 오전 10:29:41,,
MNQ SEP26,Buy to cover,MIT,1,0,29171.50,Cancelled,0,0,1,Target1,(20) - 1,c8f3da5518304df2b0fb3a9b304375fe,GTC,Playback101,1eba5dec05054ae8bbc7c30d3848294b,2026-07-21 오전 10:30:03,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29216.50,Filled,1,29216.5,0,Stop1,(20) - 1,c8f3da5518304df2b0fb3a9b304375fe,GTC,Playback101,c039d8b84d8349c39c5ee6abb5e5e3cd,2026-07-21 오전 10:30:03,,
