Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,TIF,Account display name,ID,Time,Cancel,
MNQ SEP26,Sell,Limit,3,29611.75,0,Filled,3,29611.75,0,Target1-27600-02A8750D,,bf77389450564e72a07c858dba7a9bef|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460334,2026-08-19 오전 10:57:04,,
MNQ SEP26,Sell,Stop Market,3,0,29571.75,Cancelled,0,0,3,Stop1-27599-02A8750D,,bf77389450564e72a07c858dba7a9bef|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460331,2026-08-19 오전 10:57:04,,
MNQ SEP26,Buy,Market,3,0,0,Filled,3,29591.25,0,Entry-27597-02A8750D,,,GTC,MFFUEVBLDR200521024,625654460322,2026-08-19 오전 10:55:36,,
MNQ SEP26,Sell,Limit,3,29554.75,0,Filled,3,29554.75,0,Target1-27594-02A8750D,,e6fb26bd4d014874b79c0fe1efd98112|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460308,2026-08-19 오전 10:51:29,,
MNQ SEP26,Sell,Stop Market,3,0,29514.75,Cancelled,0,0,3,Stop1-27593-02A8750D,,e6fb26bd4d014874b79c0fe1efd98112|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460305,2026-08-19 오전 10:51:30,,
MNQ SEP26,Buy,Market,3,0,0,Filled,3,29532.75,0,Entry-27591-02A8750D,,,GTC,MFFUEVBLDR200521024,625654460296,2026-08-19 오전 10:50:27,,
MNQ SEP26,Sell,Limit,3,29574.00,0,Cancelled,0,0,3,Target1-27588-02A8750D,,bdeadd77f5114b4daa357ce4a8f60bd5|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460282,2026-08-19 오전 10:49:11,,
MNQ SEP26,Sell,Stop Market,3,0,29534.00,Filled,3,29533.75,0,Stop1-27587-02A8750D,,bdeadd77f5114b4daa357ce4a8f60bd5|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460279,2026-08-19 오전 10:49:10,,
MNQ SEP26,Buy,Market,3,0,0,Filled,3,29553.75,0,Entry-27585-02A8750D,,,GTC,MFFUEVBLDR200521024,625654460270,2026-08-19 오전 10:44:20,,
MNQ SEP26,Buy to cover,Limit,3,29542.50,0,Filled,3,29542.5,0,Target1-27582-02A8750D,,faa7d3ebf1b34e12930920cf9a397d46|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460256,2026-08-19 오전 10:42:11,,
MNQ SEP26,Buy to cover,Stop Market,3,0,29582.50,Cancelled,0,0,3,Stop1-27581-02A8750D,,faa7d3ebf1b34e12930920cf9a397d46|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460253,2026-08-19 오전 10:42:11,,
