Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,TIF,Account display name,ID,Time,Cancel,
MNQ JUN26,Sell,MIT,1,0,29457.00,Filled,1,29456.75,0,Target1,(20) - 1,d80330ab7055450ba110c1edb739eb14,GTC,Playback101,886dadb7ccd1442292f1ca582ef3393b,2026-06-09 오전 10:23:03,,
MNQ JUN26,Sell,Stop Market,1,0,29412.00,Cancelled,0,0,1,Stop1,(20),d80330ab7055450ba110c1edb739eb14,GTC,Playback101,335415f883cc4e3098cb54d3e0810f9e,2026-06-09 오전 10:23:03,,
MNQ JUN26,Buy,Market,1,0,0,Filled,1,29432,0,Entry,,,GTC,Playback101,0842054cbb7e4dd8b028403c64698a76,2026-06-09 오전 10:22:49,,
MNQ JUN26,Buy to cover,MIT,1,0,29469.25,Cancelled,0,0,1,Target1,(20) - 1,abdc57aa89234d9b8e42c2a985d9ad75,GTC,Playback101,2e4b01c2784c420bbcb096eb89b6dc6a,2026-06-09 오전 10:15:34,,
MNQ JUN26,Buy to cover,Stop Market,1,0,29514.25,Filled,1,29514.25,0,Stop1,(20) - 1,abdc57aa89234d9b8e42c2a985d9ad75,GTC,Playback101,0bf1df58424a4344b7b82224adb08493,2026-06-09 오전 10:15:34,,
MNQ JUN26,Sell,Market,1,0,0,Filled,1,29494.25,0,Entry,,,GTC,Playback101,86a2d25c565b4e6c94a713d5441a284b,2026-06-09 오전 10:14:13,,
MNQ JUN26,Sell,MIT,1,0,29689.50,Cancelled,0,0,1,Target1,(20) - 1,7e557c13f89e41c69b2f7e5a19208098,GTC,Playback101,5ab408ed281b49afa143c060dc7fa9b6,2026-06-09 오전 10:09:38,,
MNQ JUN26,Sell,Stop Market,1,0,29644.50,Filled,1,29644.5,0,Stop1,(20) - 1,7e557c13f89e41c69b2f7e5a19208098,GTC,Playback101,b661272cfc334c87bb7c7f83acbd5f6b,2026-06-09 오전 10:09:38,,
MNQ JUN26,Buy,Market,1,0,0,Filled,1,29664.5,0,Entry,(20) - 1,,GTC,Playback101,42711af1f8554ba38729cecc4a6b6bc1,2026-06-09 오전 10:09:18,,
