Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,TIF,Account display name,ID,Time,Cancel,
MNQ SEP26,Sell,MIT,1,0,29629.75,Cancelled,0,0,1,Target1,(20) - 1,1f21bfe23aef44b4b4b718386c14d1e2,GTC,Playback101,e39569caa1ec4b938651a477c928cdfd,2026-06-26 오전 10:29:06,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29631.25,Cancelled,0,0,1,Stop1,(20) - 1,8a0fc1aadbac460d9ae392fc3842792a,GTC,Playback101,46873b53a4df454c999697bacba77341,2026-06-26 오전 10:24:20,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29571.25,Cancelled,0,0,1,Stop1,(20) - 1,19fba23f8c5d417e8d814ef731888f0e,GTC,Playback101,fce82ce630004b29b73d8c0cc9dcb0de,2026-06-26 오전 10:17:55,,
MNQ SEP26,Sell,Stop Market,1,0,29584.75,Filled,1,29584.75,0,Stop1,(20) - 1,1f21bfe23aef44b4b4b718386c14d1e2,GTC,Playback101,df3b7ddad8c64199ab7004cb96d31ec3,2026-06-26 오전 10:29:06,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29604.75,0,Entry,(20) - 1,,GTC,Playback101,8c4098430db5464cbeee3f7fe20c1909,2026-06-26 오전 10:27:35,,
MNQ SEP26,Buy to cover,MIT,1,0,29586.25,Filled,1,29586.5,0,Target1,(20) - 1,8a0fc1aadbac460d9ae392fc3842792a,GTC,Playback101,e20c2f60b2304c81bd09ceeeea92f7a9,2026-06-26 오전 10:24:20,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29611.25,0,Entry,(20) - 1,,GTC,Playback101,ac96f02689944bca9a5894ad285474d7,2026-06-26 오전 10:22:36,,
MNQ SEP26,Buy to cover,MIT,1,0,29526.25,Filled,1,29527,0,Target1,(20) - 1,19fba23f8c5d417e8d814ef731888f0e,GTC,Playback101,36683553eb9045a3a9db274ed040c02d,2026-06-26 오전 10:17:55,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29551.25,0,Entry,(20) - 1,,GTC,Playback101,14b6d937c6224b03a85df70501a29afa,2026-06-26 오전 10:17:19,,
