Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,TIF,Account display name,ID,Time,Cancel,
MNQ SEP26,Sell,Limit,5,29589.00,0,Cancelled,0,0,5,Target1,Regular5 - 1,d223f023510d454095afff89d8458132,GTC,MFFUEVBLDR200521024,625654460929,2026-08-27 오전 10:56:50,,
MNQ SEP26,Sell,Stop Market,5,0,29570.00,Filled,5,29570,0,Stop1,Regular5 - 1,d223f023510d454095afff89d8458132,GTC,MFFUEVBLDR200521024,625654460926,2026-08-27 오전 10:56:50,,
MNQ SEP26,Buy,Market,5,0,0,Filled,5,29569,0,Entry,Regular5 - 1,,GTC,MFFUEVBLDR200521024,625654460917,2026-08-27 오전 10:53:53,,
MNQ SEP26,Buy to cover,Limit,5,29554.50,0,Cancelled,0,0,5,Target1,Regular5 - 1,800387b1098844b596a1ad8f9841ef36,GTC,MFFUEVBLDR200521024,625654460892,2026-08-27 오전 10:49:34,,
MNQ SEP26,Buy to cover,Stop Market,5,0,29594.50,Filled,5,29594.5,0,Stop1,Regular5 - 1,800387b1098844b596a1ad8f9841ef36,GTC,MFFUEVBLDR200521024,625654460889,2026-08-27 오전 10:49:34,,
MNQ SEP26,Sell,Market,5,0,0,Filled,5,29574.75,0,Entry,Regular5 - 1,,GTC,MFFUEVBLDR200521024,625654460880,2026-08-27 오전 10:49:03,,
MNQ SEP26,Buy to cover,Limit,5,29554.50,0,Cancelled,0,0,5,Target1,Regular5 - 1,8e8db0aa45b045778aac7783e30aedce,GTC,MFFUEVBLDR200521024,625654460877,2026-08-27 오전 10:49:34,,
MNQ SEP26,Buy to cover,Stop Market,5,0,29594.50,Filled,5,29594.5,0,Stop1,Regular5 - 1,8e8db0aa45b045778aac7783e30aedce,GTC,MFFUEVBLDR200521024,625654460874,2026-08-27 오전 10:49:34,,
MNQ SEP26,Sell,Market,5,0,0,Filled,5,29574.5,0,Entry,Regular5 - 1,,GTC,MFFUEVBLDR200521024,625654460865,2026-08-27 오전 10:49:02,,
MNQ SEP26,Buy to cover,Limit,5,29582.50,0,Filled,5,29582.5,0,Target1,Regular5 - 1,8b61e286490b403b87b482b9ad160f8a,GTC,MFFUEVBLDR200521024,625654460851,2026-08-27 오전 10:38:20,,
MNQ SEP26,Buy to cover,Stop Market,5,0,29622.50,Cancelled,0,0,5,Stop1,Regular5 - 1,8b61e286490b403b87b482b9ad160f8a,GTC,MFFUEVBLDR200521024,625654460848,2026-08-27 오전 10:38:20,,
MNQ SEP26,Sell,Market,5,0,0,Filled,5,29602.5,0,Entry,Regular5 - 1,,GTC,MFFUEVBLDR200521024,625654460839,2026-08-27 오전 10:37:20,,
MNQ SEP26,Buy to cover,Limit,5,29554.00,0,Cancelled,0,0,5,Target1,Regular5 - 1,6a809bb06386409aa3a5cb0266aca37a,GTC,MFFUEVBLDR200521024,625654460825,2026-08-27 오전 10:33:46,,
MNQ SEP26,Buy to cover,Stop Market,5,0,29594.00,Filled,5,29594,0,Stop1,Regular5 - 1,6a809bb06386409aa3a5cb0266aca37a,GTC,MFFUEVBLDR200521024,625654460822,2026-08-27 오전 10:33:45,,
MNQ SEP26,Sell,Market,5,0,0,Filled,5,29574,0,Entry,Regular5 - 1,,GTC,MFFUEVBLDR200521024,625654460813,2026-08-27 오전 10:33:15,,
MNQ SEP26,Sell,Limit,5,29619.50,0,Cancelled,0,0,5,Target1,Regular5 - 1,fdc6b1ffded94307ac932fd4def05755,GTC,MFFUEVBLDR200521024,625654460799,2026-08-27 오전 10:30:32,,
MNQ SEP26,Sell,Stop Market,5,0,29579.50,Filled,5,29578.75,0,Stop1,Regular5 - 1,fdc6b1ffded94307ac932fd4def05755,GTC,MFFUEVBLDR200521024,625654460796,2026-08-27 오전 10:30:32,,
MNQ SEP26,Buy,Market,5,0,0,Filled,5,29599.5,0,Entry,Regular5 - 1,,GTC,MFFUEVBLDR200521024,625654460787,2026-08-27 오전 10:29:06,,
MNQ SEP26,Buy to cover,Limit,5,29576.75,0,Filled,5,29576.75,0,Target1,Regular5 - 1,fcdeb2d609b5435d96ab35c5039c1fb1,GTC,MFFUEVBLDR200521024,625654460761,2026-08-27 오전 10:24:35,,
MNQ SEP26,Buy to cover,Stop Market,2,0,29616.75,Cancelled,0,0,2,Stop1,Regular5 - 1,fcdeb2d609b5435d96ab35c5039c1fb1,GTC,MFFUEVBLDR200521024,625654460758,2026-08-27 오전 10:24:35,,
MNQ SEP26,Sell,Market,5,0,0,Filled,5,29596.75,0,Entry,Regular5 - 1,,GTC,MFFUEVBLDR200521024,625654460749,2026-08-27 오전 10:23:33,,
MNQ SEP26,Sell,Limit,3,29596.50,0,Cancelled,0,0,3,Target1,Regular5 - 1,e8b18cd5d0924bca8edda58064f3d376,GTC,MFFUEVBLDR200521024,625654460719,2026-08-27 오전 10:17:58,,
MNQ SEP26,Sell,Stop Market,5,0,29585.00,Filled,5,29585,0,Stop1,Regular5 - 1,e8b18cd5d0924bca8edda58064f3d376,GTC,MFFUEVBLDR200521024,625654460716,2026-08-27 오전 10:17:58,,
MNQ SEP26,Buy,Market,5,0,0,Filled,5,29576.5,0,Entry,Regular5 - 1,,GTC,MFFUEVBLDR200521024,625654460707,2026-08-27 오전 10:17:20,,
MNQ SEP26,Buy to cover,Limit,5,29552.50,0,Cancelled,0,0,5,Target1,Regular5 - 1,b42e4351bbea4440bc101515855358ee,GTC,MFFUEVBLDR200521024,625654460682,2026-08-27 오전 10:14:46,,
MNQ SEP26,Buy to cover,Stop Market,5,0,29565.00,Filled,5,29565,0,Stop1,Regular5 - 1,b42e4351bbea4440bc101515855358ee,GTC,MFFUEVBLDR200521024,625654460679,2026-08-27 오전 10:14:46,,
MNQ SEP26,Sell,Market,5,0,0,Filled,5,29572.5,0,Entry,Regular5 - 1,,GTC,MFFUEVBLDR200521024,625654460669,2026-08-27 오전 10:12:48,,
