Instrument,Series,SeriesSeconds,BarIndex,Time,Open,High,Low,Close,Volume,Range,Body,UpperWick,LowerWick,Direction,VO,VO_Change,VO_Slope3,VO_Slope5
MNQ JUN26,1s,1,0,2026-04-23 09:22:50,27024.75,27025.5,27024.75,27025,10,0.75,0.25,0.5,0,1,,,,
MNQ JUN26,10s,10,5446,2026-04-23 09:22:50,27025.5,27026.25,27024.25,27025,66,2,0.5,0.75,0.75,-1,-79.55,-7.15,-16.25,-49.88
MNQ JUN26,1s,1,1,2026-04-23 09:22:51,27024.75,27025.25,27024.5,27024.5,7,0.75,0.25,0.5,0,-1,,,,
MNQ JUN26,1s,1,2,2026-04-23 09:22:52,27024.75,27024.75,27023.5,27024.25,24,1.25,0.5,0,0.75,-1,,,,
MNQ JUN26,1s,1,3,2026-04-23 09:22:53,27023.5,27023.5,27022.5,27022.75,21,1,0.75,0,0.25,-1,,,,
MNQ JUN26,1s,1,4,2026-04-23 09:22:54,27023.5,27024,27023.5,27024,4,0.5,0.5,0,0,1,,,,
MNQ JUN26,1s,1,5,2026-04-23 09:22:55,27024.5,27024.5,27023.75,27024.5,9,0.75,0,0,0.75,0,,,,
MNQ JUN26,1s,1,6,2026-04-23 09:22:56,27024,27024,27024,27024,2,0,0,0,0,0,,,,
MNQ JUN26,1s,1,7,2026-04-23 09:22:57,27024.5,27024.5,27024.5,27024.5,1,0,0,0,0,0,,,,
MNQ JUN26,1s,1,8,2026-04-23 09:22:58,27023,27023.25,27022.75,27023.25,9,0.5,0.25,0,0.25,1,,,,
MNQ JUN26,1s,1,9,2026-04-23 09:22:59,27022.5,27023.75,27022.25,27023.75,10,1.5,1.25,0,0.25,1,,,,
MNQ JUN26,1s,1,10,2026-04-23 09:23:00,27023.5,27024.25,27023.5,27024.25,21,0.75,0.75,0,0,1,,,,
MNQ JUN26,10s,10,5447,2026-04-23 09:23:00,27024.75,27025.25,27022.25,27024.25,108,3,0.5,0.5,2,-1,-78.2,1.35,-5.03333333,-50.88
MNQ JUN26,20s,20,5699,2026-04-23 09:23:00,27025.5,27026.25,27022.25,27024.25,174,4,1.25,0.75,2,-1,148.1,15,-4.58333333,88.25
MNQ JUN26,1s,1,11,2026-04-23 09:23:01,27024.25,27024.25,27022.75,27023,19,1.5,1.25,0,0.25,-1,,,,
MNQ JUN26,1s,1,12,2026-04-23 09:23:02,27023,27024.25,27023,27024,16,1.25,1,0.25,0,1,,,,
MNQ JUN26,1s,1,13,2026-04-23 09:23:03,27025,27025,27024.75,27024.75,3,0.25,0.25,0,0,-1,,,,
MNQ JUN26,1s,1,14,2026-04-23 09:23:04,27025.5,27026,27024.5,27024.75,13,1.5,0.75,0.5,0.25,-1,,,,
MNQ JUN26,1s,1,15,2026-04-23 09:23:05,27024.25,27024.25,27024,27024.25,4,0.25,0,0,0.25,0,,,,
MNQ JUN26,1s,1,16,2026-04-23 09:23:06,27024.5,27024.5,27024.25,27024.25,7,0.25,0.25,0,0,-1,,,,
MNQ JUN26,1s,1,17,2026-04-23 09:23:07,27024,27024.75,27023.5,27023.5,19,1.25,0.5,0.75,0,-1,,,,
MNQ JUN26,1s,1,18,2026-04-23 09:23:08,27023.5,27023.5,27023.5,27023.5,1,0,0,0,0,0,,,,
MNQ JUN26,1s,1,19,2026-04-23 09:23:09,27023.5,27023.5,27023.5,27023.5,2,0,0,0,0,0,,,,
MNQ JUN26,1s,1,20,2026-04-23 09:23:10,27023.5,27023.5,27023.5,27023.5,4,0,0,0,0,0,,,,
MNQ JUN26,10s,10,5448,2026-04-23 09:23:10,27024.25,27026,27022.75,27023.5,88,3.25,0.75,1.75,0.75,-1,-83.7,-5.5,-3.76666667,-10.58
MNQ JUN26,1s,1,21,2026-04-23 09:23:11,27023.25,27024,27023.25,27023.5,5,0.75,0.25,0.5,0,1,,,,
MNQ JUN26,1s,1,22,2026-04-23 09:23:12,27023,27023,27021.75,27022.5,36,1.25,0.5,0,0.75,-1,,,,
MNQ JUN26,1s,1,23,2026-04-23 09:23:13,27022.25,27022.5,27022.25,27022.5,8,0.25,0.25,0,0,1,,,,
MNQ JUN26,1s,1,24,2026-04-23 09:23:14,27022.5,27023,27022,27022,21,1,0.5,0.5,0,-1,,,,
MNQ JUN26,1s,1,25,2026-04-23 09:23:15,27022.5,27022.5,27022,27022,4,0.5,0.5,0,0,-1,,,,
MNQ JUN26,1s,1,26,2026-04-23 09:23:16,27021.75,27022.75,27021.5,27021.5,13,1.25,0.25,1,0,-1,,,,
MNQ JUN26,1s,1,27,2026-04-23 09:23:17,27022.25,27022.25,27022.25,27022.25,6,0,0,0,0,0,,,,
MNQ JUN26,1s,1,28,2026-04-23 09:23:18,27021.75,27022.5,27021.5,27022.25,31,1,0.5,0.25,0.25,1,,,,
MNQ JUN26,1s,1,29,2026-04-23 09:23:19,27022.75,27023.25,27022.5,27022.75,20,0.75,0,0.5,0.25,0,,,,
MNQ JUN26,1s,1,30,2026-04-23 09:23:20,27022.25,27023.25,27022.25,27023.25,8,1,1,0,0,1,,,,
MNQ JUN26,10s,10,5449,2026-04-23 09:23:20,27023.25,27024,27021.5,27023.25,152,2.5,0,0.75,1.75,0,-78.7,5,0.28333333,-3.12
