Instrument,Series,SeriesSeconds,BarIndex,Time,Open,High,Low,Close,Volume,Range,Body,UpperWick,LowerWick,Direction,VO,VO_Change,VO_Slope3,VO_Slope5
MNQ MAR26,1s,1,0,2026-01-06 09:19:33,25611.75,25611.75,25611.5,25611.75,5,0.25,0,0,0.25,0,,,,
MNQ MAR26,1s,1,1,2026-01-06 09:19:34,25611.75,25612.25,25611.75,25612,10,0.5,0.25,0.25,0,1,,,,
MNQ MAR26,1s,1,2,2026-01-06 09:19:35,25611.75,25611.75,25611.25,25611.25,9,0.5,0.5,0,0,-1,,,,
MNQ MAR26,1s,1,3,2026-01-06 09:19:36,25611.5,25612.25,25611.5,25612.25,12,0.75,0.75,0,0,1,,,,
MNQ MAR26,1s,1,4,2026-01-06 09:19:37,25612.25,25612.25,25611.75,25612.25,12,0.5,0,0,0.5,0,,,,
MNQ MAR26,1s,1,5,2026-01-06 09:19:38,25611.75,25611.75,25611.75,25611.75,3,0,0,0,0,0,,,,
MNQ MAR26,1s,1,6,2026-01-06 09:19:39,25612,25612.5,25611.75,25611.75,30,0.75,0.25,0.5,0,-1,,,,
MNQ MAR26,1s,1,7,2026-01-06 09:19:40,25611.75,25612.25,25611.75,25612.25,3,0.5,0.5,0,0,1,,,,
MNQ MAR26,10s,10,5397,2026-01-06 09:19:40,25611.25,25612.5,25611,25612.25,118,1.5,1,0.25,0.25,1,43.25,20.3,12.4,12.07
MNQ MAR26,20s,20,5698,2026-01-06 09:19:40,25614.25,25614.25,25611,25612.25,221,3.25,2,0,1.25,-1,-8.9,21.2,24.13333333,12.22
MNQ MAR26,1s,1,8,2026-01-06 09:19:41,25612.5,25612.5,25612.25,25612.5,5,0.25,0,0,0.25,0,,,,
MNQ MAR26,1s,1,9,2026-01-06 09:19:42,25612.75,25613.5,25612.75,25613.25,32,0.75,0.5,0.25,0,1,,,,
MNQ MAR26,1s,1,10,2026-01-06 09:19:43,25613,25613.25,25612.75,25612.75,10,0.5,0.25,0.25,0,-1,,,,
MNQ MAR26,1s,1,11,2026-01-06 09:19:44,25612.75,25613,25612.75,25613,5,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,12,2026-01-06 09:19:45,25612.75,25612.75,25612.75,25612.75,3,0,0,0,0,0,,,,
MNQ MAR26,1s,1,13,2026-01-06 09:19:46,25612.5,25612.5,25612.5,25612.5,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,14,2026-01-06 09:19:47,25613.25,25613.25,25613.25,25613.25,5,0,0,0,0,0,,,,
MNQ MAR26,1s,1,15,2026-01-06 09:19:49,25614,25615.5,25614,25615.5,42,1.5,1.5,0,0,1,,,,
MNQ MAR26,1s,1,16,2026-01-06 09:19:50,25615.5,25615.5,25615.5,25615.5,3,0,0,0,0,0,,,,
MNQ MAR26,10s,10,5398,2026-01-06 09:19:50,25612.5,25615.5,25612.25,25615.5,106,3.25,3,0,0.25,1,20,-23.25,-0.43333333,4.86
MNQ MAR26,1s,1,17,2026-01-06 09:19:51,25615,25615,25615,25615,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,18,2026-01-06 09:19:52,25615.25,25615.25,25614.75,25614.75,8,0.5,0.5,0,0,-1,,,,
MNQ MAR26,1s,1,19,2026-01-06 09:19:53,25614.75,25615.25,25614.75,25615.25,3,0.5,0.5,0,0,1,,,,
MNQ MAR26,1s,1,20,2026-01-06 09:19:54,25615,25615.25,25615,25615.25,7,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,21,2026-01-06 09:19:55,25615.25,25616,25615.25,25615.75,18,0.75,0.5,0.25,0,1,,,,
MNQ MAR26,1s,1,22,2026-01-06 09:19:56,25615.75,25616.25,25615.75,25616,24,0.5,0.25,0.25,0,1,,,,
MNQ MAR26,1s,1,23,2026-01-06 09:19:57,25616,25616,25615.5,25615.5,7,0.5,0.5,0,0,-1,,,,
MNQ MAR26,1s,1,24,2026-01-06 09:19:58,25615.75,25615.75,25615.75,25615.75,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,25,2026-01-06 09:19:59,25616,25616,25616,25616,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,26,2026-01-06 09:20:00,25615.75,25616,25615.25,25616,23,0.75,0.25,0,0.5,1,,,,
MNQ MAR26,10s,10,5399,2026-01-06 09:20:00,25615,25616.25,25614.75,25616,93,1.5,1,0.25,0.25,1,13,-7,-3.31666667,1.39
MNQ MAR26,20s,20,5699,2026-01-06 09:20:00,25612.5,25616.25,25612.25,25616,199,4,3.5,0.25,0.25,1,-15.35,-6.45,15.83333333,12.64
MNQ MAR26,1s,1,27,2026-01-06 09:20:01,25615,25615.5,25614.75,25615.5,20,0.75,0.5,0,0.25,1,,,,
MNQ MAR26,1s,1,28,2026-01-06 09:20:02,25615,25615.75,25614.5,25614.75,9,1.25,0.25,0.75,0.25,-1,,,,
MNQ MAR26,1s,1,29,2026-01-06 09:20:03,25614.5,25615.75,25614.5,25615.75,12,1.25,1.25,0,0,1,,,,
MNQ MAR26,1s,1,30,2026-01-06 09:20:04,25615,25615,25614.75,25615,5,0.25,0,0,0.25,0,,,,
MNQ MAR26,1s,1,31,2026-01-06 09:20:05,25614.25,25615,25614.25,25615,9,0.75,0.75,0,0,1,,,,
MNQ MAR26,1s,1,32,2026-01-06 09:20:06,25615,25615,25614.5,25614.5,3,0.5,0.5,0,0,-1,,,,
MNQ MAR26,1s,1,33,2026-01-06 09:20:07,25614.75,25614.75,25614.75,25614.75,2,0,0,0,0,0,,,,
MNQ MAR26,1s,1,34,2026-01-06 09:20:09,25615,25615,25614.5,25614.5,4,0.5,0.5,0,0,-1,,,,
MNQ MAR26,1s,1,35,2026-01-06 09:20:10,25614.5,25615.5,25614.5,25614.75,16,1,0.25,0.75,0,1,,,,
MNQ MAR26,10s,10,5400,2026-01-06 09:20:10,25615,25615.75,25614.25,25614.75,80,1.5,0.25,0.75,0.5,-1,11.4,-1.6,-10.61666667,-1.98
MNQ MAR26,1s,1,36,2026-01-06 09:20:11,25614.75,25614.75,25614.75,25614.75,1,0,0,0,0,0,,,,
MNQ MAR26,1s,1,37,2026-01-06 09:20:12,25615,25615,25614.75,25614.75,5,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,38,2026-01-06 09:20:13,25614.5,25614.5,25614.5,25614.5,2,0,0,0,0,0,,,,
MNQ MAR26,1s,1,39,2026-01-06 09:20:14,25614.75,25614.75,25613.75,25614.25,26,1,0.5,0,0.5,-1,,,,
MNQ MAR26,1s,1,40,2026-01-06 09:20:15,25613.75,25613.75,25613.5,25613.5,5,0.25,0.25,0,0,-1,,,,
MNQ MAR26,1s,1,41,2026-01-06 09:20:16,25613.5,25613.75,25613.5,25613.75,11,0.25,0.25,0,0,1,,,,
MNQ MAR26,1s,1,42,2026-01-06 09:20:17,25614,25614,25614,25614,1,0,0,0,0,0,,,,
